,words,number
0,the,238
1,to,189
2,and,146
3,a,90
4,was,86
5,you,74
6,her,62
7,in,59
8,at,51
9,went,49
10,wanted,47
11,of,44
12,his,44
13,very,42
14,about,40
15,walsh,40
16,said,39
17,for,39
18,mother,38
19,she,36
20,i,36
21,going,33
22,looked,33
23,your,33
24,is,32
25,want,28
26,room,28
27,it,27
28,did,27
29,with,26
30,he,26
31,money,25
32,jackie,25
33,on,24
34,my,24
35,inspector,24
36,house,23
37,roger,23
38,came,22
39,this,22
40,put,22
41,dont,22
42,not,22
43,tell,22
44,talk,20
45,some,20
46,me,20
47,didnt,19
48,into,18
49,angry,18
50,like,18
51,diane,18
52,molly,17
53,up,17
54,all,17
55,be,16
56,need,16
57,last,16
58,more,16
59,face,16
60,clarkson,15
61,from,15
62,everyone,15
63,sat,15
64,stood,15
65,began,14
66,that,14
67,kill,14
68,got,14
69,know,14
70,were,14
71,loved,14
72,briggs,14
73,sergeant,14
74,took,13
75,down,13
76,go,13
77,hot,13
78,tom,13
79,foster,13
80,told,13
81,then,12
82,are,12
83,because,12
84,asked,12
85,door,12
86,tablets,12
87,opened,12
88,albert,12
89,sleeping,12
90,night,12
91,lot,11
92,old,11
93,get,11
94,dogs,11
95,hobbs,11
96,can,11
97,found,11
98,kitchen,10
99,phone,10
100,here,10
101,back,10
102,out,10
103,next,10
104,peter,10
105,bed,10
106,im,10
107,see,10
108,coffee,10
109,bottle,10
110,dianes,10
111,wants,9
112,always,9
113,but,9
114,eyes,9
115,long,9
116,an,9
117,good,9
118,empty,9
119,dr,9
120,pratt,9
121,police,9
122,family,8
123,come,8
124,saidshe,8
125,two,8
126,across,8
127,hands,8
128,mollys,8
129,table,8
130,stopped,8
131,watched,8
132,we,8
133,happy,8
134,garden,8
135,mothers,8
136,again,8
137,killed,8
138,chapter,7
139,half,7
140,village,7
141,no,7
142,felt,7
143,first,7
144,black,7
145,suddenly,7
146,mr,7
147,love,7
148,cup,7
149,now,7
150,them,7
151,mrs,7
152,clarksons,7
153,milk,7
154,one,6
155,day,6
156,cigarette,6
157,bag,6
158,front,6
159,man,6
160,am,6
161,expensive,6
162,doesnt,6
163,would,6
164,say,6
165,upstairs,6
166,left,6
167,time,6
168,downstairs,6
169,made,6
170,rogers,6
171,month,6
172,gave,6
173,or,5
174,beautiful,5
175,thursday,5
176,years,5
177,wore,5
178,have,5
179,big,5
180,work,5
181,hat,5
182,after,5
183,lost,5
184,slowly,5
185,hair,5
186,someone,5
187,job,5
188,things,5
189,him,5
190,before,5
191,quietly,5
192,there,5
193,window,5
194,by,5
195,nothing,5
196,had,4
197,morning,4
198,yesi,4
199,sandwiches,4
200,car,4
201,uncle,4
202,once,4
203,shes,4
204,much,4
205,needs,4
206,saidand,4
207,farmhe,4
208,dirty,4
209,has,4
210,walked,4
211,moved,4
212,cant,4
213,early,4
214,motheri,4
215,hand,4
216,dead,4
217,needed,4
218,ask,4
219,detectives,4
220,office,4
221,saidhe,4
222,young,4
223,think,4
224,girl,4
225,listen,4
226,lived,3
227,mile,3
228,drink,3
229,saidim,3
230,train,3
231,ticket,3
232,call,3
233,downshe,3
234,sister,3
235,never,3
236,its,3
237,ran,3
238,closed,3
239,later,3
240,wait,3
241,letterhe,3
242,motheryou,3
243,hes,3
244,saturday,3
245,drove,3
246,white,3
247,husband,3
248,dress,3
249,dark,3
250,blue,3
251,red,3
252,called,3
253,thats,3
254,worse,3
255,loves,3
256,little,3
257,minute,3
258,talking,3
259,ill,3
260,smiled,3
261,dianeyou,3
262,drank,3
263,meet,3
264,new,3
265,himhe,3
266,saidi,3
267,rogeri,3
268,every,3
269,finished,3
270,lets,3
271,nearly,3
272,quickly,3
273,died,3
274,youyou,3
275,nowbut,3
276,knew,3
277,carefully,3
278,talked,3
279,waited,3
280,sitting,3
281,behind,3
282,nice,3
283,usually,3
284,tennis,3
285,what,3
286,happened,3
287,so,3
288,tired,3
289,mothershe,3
290,sell,3
291,questions,3
292,wrote,3
293,moneyhe,3
294,they,3
295,carhe,3
296,picture,3
297,do,3
298,true,3
299,nearest,2
300,gardenshe,2
301,brown,2
302,cambridge,2
303,isnt,2
304,doctors,2
305,wrong,2
306,phoning,2
307,smokeshe,2
308,well,2
309,off,2
310,woman,2
311,minutethen,2
312,write,2
313,welli,2
314,says,2
315,seven,2
316,oclock,2
