,words,number
0,i,224
1,and,215
2,to,204
3,a,155
4,the,153
5,was,145
6,he,117
7,of,106
8,me,101
9,my,100
10,in,96
11,you,78
12,not,65
13,him,63
14,but,58
15,with,57
16,is,54
17,her,48
18,it,46
19,want,44
20,your,40
21,then,39
22,that,38
23,his,38
24,very,36
25,queen,35
26,man,35
27,there,35
28,for,31
29,she,30
30,am,29
31,james,29
32,did,29
33,said,28
34,dont,28
35,at,28
36,they,27
37,going,26
38,were,25
39,friends,24
40,on,24
41,one,23
42,darnley,23
43,are,22
44,so,22
45,men,22
46,like,22
47,we,21
48,no,21
49,had,21
50,people,21
51,king,21
52,son,20
53,because,20
54,about,20
55,see,19
56,kill,19
57,went,19
58,riccio,19
59,all,18
60,came,18
61,afraid,18
62,when,18
63,think,18
64,lord,18
65,out,18
66,bothwell,18
67,too,17
68,be,17
69,know,17
70,looked,17
71,good,17
72,mary,16
73,castle,16
74,can,16
75,im,16
76,them,16
77,could,16
78,rode,16
79,day,15
80,scotland,15
81,father,15
82,angry,15
83,died,15
84,husband,15
85,now,15
86,this,14
87,england,14
88,or,14
89,elizabeth,14
90,please,14
91,do,14
92,scots,14
93,room,13
94,two,13
95,some,13
96,killed,13
97,god,13
98,edinburgh,13
99,david,13
100,wrote,12
101,here,12
102,from,12
103,little,12
104,come,12
105,help,12
106,tell,12
107,what,12
108,die,12
109,back,12
110,go,12
111,put,12
112,away,11
113,course,11
114,write,11
115,an,11
116,liked,11
117,church,11
118,sorry,11
119,night,11
120,moray,11
121,army,11
122,many,10
123,old,10
124,lot,10
125,perhaps,10
126,face,10
127,after,10
128,earl,10
129,story,9
130,our,9
131,dead,9
132,stood,9
133,down,9
134,often,9
135,catholic,9
136,didnt,9
137,big,9
138,talk,9
139,every,9
140,fight,9
141,saidi,9
142,much,8
143,cant,8
144,never,8
145,true,8
146,years,8
147,prison,8
148,work,8
149,france,8
150,happy,8
151,unhappy,8
152,sang,8
153,protestant,8
154,love,8
155,wanted,8
156,talked,8
157,ran,8
158,these,8
159,strong,8
160,behind,8
161,asked,8
162,blood,8
163,took,8
164,why,7
165,sometimes,7
166,only,7
167,say,7
168,time,7
169,five,7
170,marry,7
171,walked,7
172,house,7
173,next,7
174,understand,7
175,black,7
176,woman,7
177,letters,7
178,henry,7
179,well,7
180,town,7
181,outside,7
182,boy,7
183,gave,6
184,give,6
185,nothing,6
186,mother,6
187,english,6
188,soon,6
189,letter,6
190,before,6
191,baby,6
192,stayed,6
193,than,6
194,young,6
195,lords,6
196,everyone,6
197,enemies,6
198,born,6
199,find,6
200,mei,6
201,wife,6
202,laughed,6
203,maryhe,6
204,up,6
205,dress,6
206,into,6
207,over,6
208,us,6
209,veil,6
210,lady,5
211,sat,5
212,majesty,5
213,beautiful,5
214,saidyou,5
215,slowly,5
216,tired,5
217,eyes,5
218,life,5
219,its,5
220,first,5
221,slept,5
222,smiled,5
223,country,5
224,catholics,5
225,youre,5
226,difficult,5
227,child,5
228,friend,5
229,better,5
230,wrong,5
231,six,5
232,dark,5
233,door,5
234,got,5
235,arms,5
236,yes,5
237,ruthven,5
238,again,5
239,poor,5
240,sleep,5
241,morning,5
242,quietly,5
243,ill,5
244,oclock,5
245,how,5
246,ladyhe,5
247,executioner,5
248,bess,4
249,began,4
250,horses,4
251,road,4
252,hands,4
253,long,4
254,doesnt,4
255,hates,4
256,three,4
257,has,4
258,twenty,4
259,things,4
260,lies,4
261,loved,4
262,leave,4
263,rule,4
264,have,4
265,wants,4
266,found,4
267,clothes,4
268,weeks,4
269,henryi,4
270,sit,4
271,try,4
272,saidim,4
273,drank,4
274,inside,4
275,helped,4
276,morays,4
277,other,4
278,evening,4
279,something,4
280,red,4
281,wicked,4
282,minutes,4
283,stupid,4
284,floor,4
285,oh,4
286,cry,4
287,waited,4
288,kirk,4
289,ofield,4
290,downstairs,4
291,wedding,4
292,heard,4
293,through,4
294,fotheringhay,3
295,name,3
296,week,3
297,cold,3
298,thats,3
299,home,3
300,dog,3
301,watched,3
302,front,3
303,forget,3
304,minute,3
305,lie,3
306,knew,3
307,right,3
308,pen,3
309,meet,3
310,believe,3
311,francis,3
312,new,3
313,important,3
314,off,3
315,near,3
316,lordsi,3
317,their,3
318,saidyour,3
319,women,3
320,without,3
321,look,3
322,need,3
323,husbandi,3
324,stories,3
325,danced,3
326,stairs,3
327,tall,3
328,friendly,3
329,stop,3
330,those,3
331,interested,3
332,rooms,3
333,always,3
334,worked,3
335,hard,3
336,small,3
337,lordi,3
338,knife,3
339,hand,3
340,bad,3
341,held,3
342,towards,3
343,mehe,3
344,quiet,3
345,smile,3
346,quickly,3
347,listen,3
348,dunbar,3
349,th,3
350,met,3
351,who,3
352,killers,3
353,under,3
354,stole,3
355,white,3
356,head,3
357,axe,3
358,"""",2
359,curle,2
360,january,2
361,couldnt,2
362,goes,2
363,london,2
364,unhappily,2
365,queens,2
366,free,2
367,husbands,2
368,window,2
369,ten,2
370,last,2
371,saw,2
372,nearly,2
373,thinks,2
374,majestyhe,2
375,marys,2
376,needs,2
377,saidgive,2
378,arent,2
379,bring,2
380,would,2
381,cannot,2
382,lived,2
383,year,2
384,illand,2
385,wasnt,2
386,any,2
387,more,2
388,arrived,2
389,eighteen,2
390,sea,2
391,pleased,2
392,streets,2
393,sunday,2
394,tooi,2
395,change,2
396,shouted,2
397,saidbut,2
398,hate,2
399,pray,2
400,called,2
401,knox,2
402,famous,2
403,churchman,2
404,daughter,2
405,let,2
406,cried,2
407,words,2
408,himhe,2
409,thing,2
410,between,2
411,robert,2
412,friendshe,2
413,dudley,2
414,suddenly,2
415,fell,2
416,thisi,2
417,thoughtshe,2
418,dancing,2
419,felt,2
420,married,2
421,halfbrother,2
422,tried,2
423,south,2
424,stopped,2
425,read,2
426,daybut,2
427,teach,2
428,needed,2
429,clever,2
430,sings,2
431,listened,2
432,death,2
433,opened,2
434,saidplease,2
435,eat,2
436,beside,2
437,hot,2
438,therehe,2
439,moved,2
440,saidwhy,2
441,get,2
442,another,2
443,screamed,2
444,herei,2
445,wrongi,2
446,saidwe,2
447,pregnant,2
448,nothe,2
449,take,2
450,afraidand,2
451,february,2
452,bed,2
453,nowdont,2
454,saiddont,2
455,bothwells,2
456,horse,2
457,news,2
458,garden,2
459,doors,2
460,fatherjames,2
461,europe,2
462,believed,2
463,times,2
464,wait,2
465,flag,2
466,picture,2
467,lochleven,2
468,keep,2
469,douglas,2
470,saidand,2
471,prayed,2
472,petticoat,2
473,englishmen,2
474,forgive,2
475,block,2
476,scotsshe,1
477,ago,1
478,north,1
479,windowone,1
480,houses,1
481,river,1
482,trees,1
483,along,1
484,happened,1
485,windowi,1
486,itqueens,1
487,bessmary,1
488,saidthen,1
489,prisonwhy,1
490,majestybecause,1
491,rightmary,1
492,saidshes,1
493,marriedand,1
494,peoplegood,1
495,catnolic,1
496,englandfrancescotlandspainsay,1
497,elizabethand,1
498,children,1
499,mejamesshe,1
500,quietlymy,1
501,sondoes,1
502,months,1
503,majestyi,1
504,oftenhow,1
505,memary,1
506,askeddoes,1
507,buthe,1
508,scotlandbessshe,1
509,saidnot,1
510,fore,1
511,deadremember,1
512,untrue,1
513,perhapsperhaps,1
514,whiteshe,1
515,afraidshe,1
516,bessit,1
517,jamess,1
518,fatheri,1
519,thatyour,1
520,majestybut,1
521,ithe,1
522,hears,1
523,storywhy,1
524,tiredall,1
525,bessshe,1
526,meyes,1
527,happen,1
528,lifeso,1
529,dear,1
530,godbefore,1
531,everything,1
532,truei,1
533,impor,1
534,tant,1
535,french,1
536,frances,1
537,younger,1
538,brother,1
539,bur,1
540,youngand,1
541,thenin,1
542,diedhe,1
543,sixteen,1
544,different,1
545,still,1
546,girl,1
547,shipand,1
548,catholicyou,1
549,hope,1
550,angrily,1
551,streetsyour,1
552,majestysaid,1
553,lordsscotland,1
554,scottish,1
555,queenno,1
556,tells,1
557,doi,1
558,protestantsand,1
559,churches,1
560,john,1
561,clotheshe,1
562,hated,1
563,husbandgirl,1
564,quietlyhe,1
565,books,1
566,herso,1
567,spaindon,1
568,carlos,1
569,myself,1
570,family,1
571,elizabethwe,1
572,meetinga,1
573,meeting,1
574,sister,1
575,queenselizabeth,1
576,countries,1
577,friendsyou,1
578,friendwhy,1
579,dudleythe,1
580,leicesterhe,1
581,tallstrong,1
582,letterthere,1
583,dudleythey,1
584,sometimespeople,1
585,accidentshe,1
586,writes,1
587,friendher,1
588,loverperhapsshe,1
589,lover,1
590,nineteen,1
591,twentythreehe,1
592,green,1
593,wore,1
594,expensive,1
595,thought,1
596,toowe,1
597,cousinshis,1
598,grandfather,1
599,greatgrandfather,1
600,vii,1
601,july,1
602,marriage,1
603,englandbut,1
604,happyyour,1
605,laughter,1
606,hundreds,1
607,thingsi,1
608,thingsevery,1
609,nowi,1
610,thoughti,1
611,saidwould,1
612,unhappyim,1
613,thathe,1
614,noti,1
615,saidyoure,1
616,lovebut,1
617,days,1
618,workand,1
619,ride,1
620,drink,1
621,swim,1
622,fights,1
623,anythingbecause,1
624,pregnantyou,1
625,alive,1
626,tooone,1
627,italian,1
628,interesting,1
629,tooand,1
630,evenings,1
631,muchand,1
632,firstyour,1
633,ricciodavid,1
634,nightthey,1
635,fathershe,1
636,laughs,1
637,dances,1
638,lordit,1
639,scotsman,1
640,thingstooi,1
641,knowa,1
642,meso,1
643,himyour,1
644,workhe,1
645,friendsand,1
646,saturday,1
647,march,1
648,seven,1
649,dinner,1
650,table,1
651,warm,1
652,darnleymy,1
653,thank,1
654,youhe,1
655,hungrybut,1
656,move,1
657,chair,1
658,methen,1
659,round,1
660,laughedare,1
661,really,1
662,second,1
663,ruthvenstood,1
664,af,1
665,majestysend,1
666,afraidwhyi,1
667,manruthven,1
668,saidsend,1
669,noi,1
670,stays,1
671,womanlord,1
672,henryhold,1
673,movedavid,1
674,angrilybut,1
675,backhe,1
676,angrilydont,1
677,touch,1
678,knives,1
679,hit,1
680,pulled,1
681,screamedhelp,1
682,queenpleasetheyre,1
683,medontaaaaaargh,1
684,armsbut,1
685,hear,1
686,riccios,1
687,screams,1
688,doingi,1
689,angrilyriccio,1
690,manwhy,1
691,doing,1
692,laughedyou,1
693,marynot,1
694,riccioshe,1
695,saidso,1
696,eveningyou,1
697,drinking,1
698,nice,1
699,laughwellhe,1
700,saidperhaps,1
701,riccionowdo,1
702,deadand,1
703,remember,1
704,nighthusbandi,1
705,himremember,1
706,wellthink,1
707,thathenry,1
708,afraidwhats,1
709,matterhusbandi,1
710,crying,1
711,themhe,1
712,theyre,1
713,againi,1
714,theythey,1
715,ustheyre,1
716,queenthey,1
717,ii,1
718,quietlythen,1
719,perhapsmarythey,1
720,thatyesterdaybut,1
721,againwhat,1
722,run,1
723,awayi,1
724,saidhenry,1
725,mehenryand,1
726,childsay,1
727,anythinglie,1
728,tonight,1
729,itall,1
730,castlesome,1
731,afraidcome,1
732,onhe,1
733,saidride,1
734,fasterwoman,1
735,slow,1
736,bours,1
737,raini,1
738,illthink,1
739,make,1
740,thatjamesthen,1
741,sleptand,1
742,mansoon,1
743,summer,1
744,ruled,1
745,june,1
746,inmy,1
747,saidthis,1
748,sonisnt,1
749,youjames,1
750,namehe,1
751,thatnever,1
752,nowthe,1
753,bothwella,1
754,strongclever,1
755,older,1
756,fighter,1
757,fatherdarnleywas,1
758,glasgowi,1
759,far,1
760,where,1
761,goi,1
762,stay,1
763,ofieldoutside,1
764,upstairs,1
765,visited,1
766,sundayth,1
767,sangand,1
768,tiredgood,1
769,armyour,1
770,rememberpeople,1
771,singing,1
772,tonighteveryone,1
773,forgoti,1
774,saidof,1
775,unhappyplease,1
776,gohe,1
777,remembered,1
778,diedso,1
779,saidgood,1
780,nighthenrybe,1
781,jesus,1
782,dirty,1
783,arei,1
784,forgot,1
785,fatherit,1
786,itnothing,1
787,sudden,1
788,noisea,1
789,bang,1
790,everybody,1
791,godi,1
792,saidwhats,1
793,roomslord,1
794,downstairsdont,1
795,ladieshe,1
796,saidmy,1
797,outsidetheyre,1
798,hour,1
799,meplease,1
800,yesmy,1
801,lordwhat,1
802,buthow,1
803,ladythat,1
804,bangthat,1
805,housekirk,1
806,ladybothwell,1
807,slowlymy,1
808,wearing,1
809,himnow,1
810,early,1
811,nowno,1
812,walls,1
813,windowsnothingand,1
814,way,1
815,himbut,1
816,afraidi,1
817,someone,1
818,changed,1
819,saidbothwell,1
820,darnleyi,1
821,sold,1
822,horrible,1
823,pictures,1
824,same,1
825,darnleys,1
826,himi,1
827,spring,1
828,onth,1
829,april,1
830,northi,1
831,mesix,1
832,miles,1
833,townlord,1
834,heremy,1
835,castlehe,1
836,excitedtoobutmy,1
837,lordyou,1
838,whats,1
839,nothingwhat,1
840,sayi,1
841,himand,1
842,friendsso,1
843,divorce,1
844,himsoon,1
845,may,1
846,junebothwell,1
847,carberry,1
848,hill,1
849,armies,1
850,fatherdarnley,1
851,bothwellour,1
852,theirslets,1
853,both,1
854,kirkcaldy,1
855,memy,1
856,uswe,1
857,mekill,1
858,sleeps,1
859,killerwe,1
860,againthey,1
861,prisonthere,1
862,childrenthere,1
863,babieswer,1
864,deadi,1
865,babies,1
866,lindsay,1
867,imary,1
868,kingdom,1
869,jamesfrom,1
870,today,1
871,scotsbut,1
872,lettermary,1
873,importantjamesit,1
874,anythingi,1
875,changes,1
876,denmark,1
877,prisoner,1
878,morayyou,1
879,prisonshe,1
880,saidit,1
881,thatbut,1
882,sonwilliamliked,1
883,william,1
884,womens,1
885,shut,1
886,fathers,1
887,armymary,1
888,againpeople,1
889,sonyou,1
890,langside,1
891,glasgowand,1
892,lost,1
893,stronger,1
894,englandqueen,1
895,understandsshe,1
896,queenlike,1
897,jamesi,1
898,freei,1
899,armyshe,1
900,prisonyou,1
901,thisjamesit,1
902,lifenot,1
903,mine,1
904,twentyfive,1
905,fortyfive,1
906,nowtwenty,1
907,prisons,1
908,told,1
909,saidmary,1
910,truetheyre,1
911,liesthey,1
912,jameswhy,1
913,enemyyou,1
914,youyou,1
915,lied,1
916,mejamesmoray,1
917,toothey,1
918,sons,1
919,jamesforgive,1
920,mesometimes,1
921,angryit,1
922,dosometimes,1
923,didntshe,1
924,bcause,1
925,ask,1
926,themsometimes,1
927,elizabeths,1
928,protestants,1
929,lettersyou,1
930,womanthey,1
931,elizabethyoure,1
932,l,1
933,helpi,1
934,scotandbutmy,1
935,lordsshe,1
936,freedont,1
937,backwhy,1
938,meand,1
939,answer,1
940,live,1
941,writing,1
942,yesterday,1
943,afternoonth,1
944,englishman,1
945,shrewsburycame,1
946,maryi,1
947,sorrymy,1
948,tomorrow,1
949,movewhenshe,1
950,half,1
951,past,1
952,eight,1
953,morninghe,1
954,nightwe,1
955,jamesgive,1
956,pleaseshe,1
957,ladyi,1
958,youking,1
959,jamesthis,1
960,upprayed,1
961,dressed,1
962,feet,1
963,herher,1
964,hundred,1
965,hermy,1
966,saidpray,1
967,noshe,1
968,saidthank,1
969,understands,1
970,thatshe,1
971,youmary,1
972,tiredand,1
973,open,1
974,goddo,1
975,friendsdont,1
976,meladiesshe,1
977,walk,1
978,petticoatwith,1
979,lifeoh,1
980,godinto,1
981,lifted,1
982,once,1
983,twice,1
984,godthree,1
985,timesand,1
986,headher,1
987,poorpoor,1
988,headfell,1
989,thinga,1
990,heada,1
991,bloodblood,1
992,executioners,1
993,shoes,1
994,everywhere,1
995,bloody,1
996,lordthe,1
997,mothers,1
998,finishes,1
999,herewe,1
