,words,number
0,the,257
1,to,182
2,and,126
3,at,57
4,in,49
5,of,48
6,was,46
7,a,44
8,said,44
9,about,44
10,you,43
11,is,42
12,commander,42
13,going,36
14,kiah,35
15,zadak,33
16,looked,30
17,can,30
18,guards,30
19,rilla,29
20,for,27
21,began,25
22,earth,25
23,his,23
24,want,23
25,guard,23
26,on,22
27,gog,21
28,he,21
29,him,20
30,seru,20
31,with,19
32,are,18
33,captain,18
34,talk,17
35,moon,17
36,came,17
37,were,17
38,adai,16
39,aol,15
40,went,15
41,asked,15
42,stood,14
43,me,14
44,all,14
45,prison,14
46,room,13
47,down,13
48,us,13
49,taxi,13
50,here,13
51,very,13
52,into,13
53,back,12
54,dont,12
55,know,12
56,some,12
57,they,12
58,this,12
59,bel,12
60,front,11
61,eyes,11
62,didnt,11
63,we,11
64,see,11
65,face,11
66,help,11
67,from,11
68,took,11
69,train,11
70,numbers,10
71,years,10
72,door,10
73,i,10
74,wanted,10
75,opened,10
76,kill,10
77,om,9
78,across,9
79,big,9
80,two,9
81,saw,9
82,not,9
83,walked,9
84,then,9
85,man,9
86,ran,9
87,people,9
88,more,9
89,stopped,8
90,sat,8
91,her,8
92,because,8
93,my,8
94,that,8
95,jumped,8
96,money,8
97,cat,8
98,black,7
99,waited,7
100,come,7
101,out,7
102,there,7
103,left,7
104,do,7
105,next,7
106,plane,7
107,cant,7
108,behind,7
109,again,7
110,tell,7
111,spaceship,7
112,wants,7
113,brother,7
114,fires,7
115,leave,7
116,dark,6
117,little,6
118,gave,6
119,she,6
120,im,6
121,or,6
122,ship,6
123,hes,6
124,australia,6
125,phone,6
126,talked,6
127,lot,6
128,be,6
129,told,6
130,its,6
131,no,6
132,doesnt,6
133,talking,6
134,good,6
135,floor,6
136,forest,6
137,shot,6
138,before,6
139,over,5
140,holes,5
141,youre,5
142,like,5
143,look,5
144,white,5
145,up,5
146,put,5
147,three,5
148,did,5
149,wait,5
150,but,5
151,need,5
152,go,5
153,get,5
154,phoned,5
155,them,5
156,driver,5
157,under,5
158,after,5
159,near,5
160,your,5
161,stop,5
162,colony,5
163,office,5
164,isnt,5
165,one,5
166,expensive,5
167,saidwe,5
168,new,5
169,old,5
170,gate,5
171,five,4
172,moved,4
173,whats,4
174,table,4
175,breaking,4
176,nearly,4
177,serus,4
178,saidi,4
179,window,4
180,an,4
181,satellite,4
182,sent,4
183,first,4
184,eight,4
185,oclock,4
186,what,4
187,away,4
188,visit,4
189,ten,4
190,morning,4
191,airport,4
192,blue,4
193,guns,4
194,road,4
195,angry,4
196,saidbut,4
197,someone,4
198,it,4
199,gogs,4
200,hear,4
201,destroy,4
202,saidand,4
203,now,4
204,mars,4
205,thats,4
206,prisoners,4
207,hundred,3
208,watched,3
209,kiahs,3
210,beautiful,3
211,hair,3
212,book,3
213,theyre,3
214,dinner,3
215,these,3
216,have,3
217,those,3
218,aolbut,3
219,nothing,3
220,saidlets,3
221,kisangani,3
222,zadaks,3
223,herekiah,3
224,just,3
225,marched,3
226,carried,3
227,got,3
228,move,3
229,drove,3
230,hit,3
231,rain,3
232,understand,3
233,rillas,3
234,quietly,3
235,our,3
