,words,number
0,the,250
1,and,234
2,i,189
3,to,151
4,was,112
5,a,109
6,my,105
7,of,79
8,at,62
9,me,62
10,in,52
11,nowell,50
12,mr,48
13,he,46
14,mother,44
15,you,41
16,said,40
17,her,40
18,with,38
19,his,38
20,she,38
21,is,35
22,on,34
23,it,32
24,old,32
25,because,32
26,about,31
27,but,29
28,for,29
29,s,27
30,alizon,27
31,looked,26
32,go,25
33,wanted,25
34,t,25
35,want,24
36,began,23
37,dog,23
38,him,22
39,we,22
40,again,21
41,read,21
42,can,21
43,all,20
44,your,20
45,from,19
46,told,19
47,james,19
48,lancaster,18
49,guards,18
50,day,18
51,up,18
52,not,18
53,witch,18
54,child,18
55,castle,17
56,some,17
57,room,17
58,man,17
59,us,17
60,were,17
61,face,17
62,went,17
63,very,16
64,judge,16
65,no,15
66,then,15
67,near,15
68,big,15
69,im,15
70,down,15
71,didn,15
72,that,15
73,called,15
74,truth,15
75,angry,15
76,family,15
77,sat,15
78,ran,15
79,when,15
80,cold,14
81,out,14
82,hill,14
83,going,14
84,people,14
85,malkin,14
86,came,14
87,hungry,13
88,there,13
89,they,13
90,door,13
91,floor,13
92,back,13
93,years,13
94,law,13
95,never,13
96,are,12
97,after,12
98,home,12
99,father,12
100,men,12
101,afraid,12
102,re,12
103,hall,12
104,demdike,12
105,eyes,11
106,many,11
107,be,11
108,saw,11
109,village,11
110,grandmother,11
111,must,11
112,prison,10
113,across,10
114,webster,10
115,into,10
116,rich,10
117,followed,10
118,john,10
119,kill,10
120,killed,10
121,pedlar,9
122,put,9
123,device,9
124,warm,9
125,pendle,9
126,quietly,9
127,know,9
128,robinson,9
129,them,9
130,witches,9
131,now,9
132,tell,9
133,brother,9
134,walked,9
135,front,9
136,took,9
137,talk,9
138,dirty,8
139,name,8
140,jennet,8
141,here,8
142,come,8
143,too,8
144,house,8
145,tower,8
146,sister,8
147,dead,8
148,felt,8
149,cursed,8
150,roger,8
151,servant,8
152,stood,8
153,food,8
154,got,8
155,bromley,8
156,women,7
157,guard,7
158,hair,7
159,brought,7
160,lies,7
161,died,7
162,ill,7
163,fire,7
164,good,7
165,bad,7
166,did,7
167,villagers,7
168,friends,7
169,clay,7
170,over,7
171,hated,7
172,or,6
173,so,6
174,am,6
175,sit,6
176,see,6
177,dark,6
178,slowly,6
179,says,6
180,brown,6
181,eat,6
182,asked,6
183,story,6
184,behind,6
185,dont,6
186,an,6
187,their,6
188,look,6
189,like,6
190,give,6
191,shouted,6
192,help,6
193,care,6
194,pictures,6
195,pulled,6
196,nothing,6
197,always,5
198,get,5
199,bread,5
200,one,5
201,beautiful,5
202,someone,5
203,church,5
204,suddenly,5
205,angrily,5
206,minute,5
207,little,5
208,table,5
209,edmund,5
210,take,5
211,yes,5
212,happy,5
213,run,5
214,more,5
215,watched,5
216,mouth,5
217,along,5
218,money,5
219,lot,5
220,red,5
221,hit,5
