,words,number
0,the,303
1,and,129
2,to,115
3,a,104
4,was,101
5,in,95
6,opera,65
7,he,63
8,of,62
9,his,60
10,i,55
11,is,54
12,you,51
13,her,48
14,christine,45
15,for,43
16,at,42
17,on,41
18,not,39
19,raoul,37
20,that,32
21,said,32
22,with,30
23,she,30
24,him,30
25,me,29
26,but,28
27,about,28
28,were,27
29,house,26
30,they,25
31,monsieur,25
32,there,24
33,are,24
34,ghost,23
35,giry,23
36,went,23
37,then,22
38,very,22
39,can,22
40,face,21
41,it,21
42,looked,21
43,going,21
44,love,21
45,my,20
46,box,20
47,this,20
48,no,19
49,could,19
50,daa,19
51,two,18
52,armand,18
53,do,18
54,voice,18
55,all,17
56,came,17
57,your,17
58,be,17
59,firmin,17
60,we,17
61,door,16
62,dont,16
63,madame,16
64,an,16
65,directors,16
66,down,16
67,persian,16
68,saw,15
69,did,15
70,people,15
71,so,15
72,carlotta,15
73,black,14
74,its,13
75,first,13
76,know,13
77,go,13
78,from,13
79,nobody,13
80,og,13
81,paris,13
82,into,12
83,began,12
84,never,12
85,la,12
86,man,11
87,mother,11
88,some,11
89,asked,11
90,back,11
91,night,11
92,angry,11
93,singer,11
94,again,11
95,time,11
96,de,11
97,took,11
98,wanted,11
99,put,11
100,one,10
101,them,10
102,has,10
103,like,10
104,tell,10
105,say,10
106,behind,10
107,when,10
108,room,10
109,tonight,10
110,or,10
111,letter,10
112,knows,10
113,sing,10
114,im,10
115,ran,9
116,talk,9
117,new,9
118,want,9
119,because,9
120,sang,9
121,young,9
122,margarita,9
123,by,9
124,away,9
125,out,9
126,afraid,8
127,girl,8
128,says,8
129,dead,8
130,what,8
131,flowers,8
132,talked,8
133,heard,8
134,men,8
135,am,8
136,vicomte,8
137,quickly,8
138,up,8
139,now,8
140,turned,7
141,see,7
142,remember,7
143,us,7
144,quietly,7
145,their,7
146,nothing,7
147,best,7
148,just,7
149,beautiful,7
150,angel,7
151,hand,7
152,mans,7
153,dark,7
154,knew,7
155,name,7
156,secret,7
157,hands,7
158,lake,7
159,erik,7
160,stairs,7
161,dressingroom,6
162,girls,6
163,closed,6
164,himhe,6
165,through,6
166,wall,6
167,front,6
168,buquet,6
169,joseph,6
170,evening,6
171,oh,6
172,have,6
173,after,6
174,long,6
175,floor,6
176,famous,6
177,hear,6
178,only,6
179,good,6
180,cannot,6
181,wants,6
182,laughed,6
183,comte,6
184,christines,6
185,why,6
186,singing,6
187,strange,6
188,stared,6
189,three,6
190,white,5
191,cried,5
192,passage,5
193,days,5
194,meg,5
195,told,5
196,talking,5
197,sorry,5
198,ghosts,5
199,come,5
200,how,5
201,before,5
202,under,5
203,stage,5
204,friend,5
205,everybody,5
206,who,5
207,get,5
208,shes,5
209,listen,5
210,got,5
211,well,5
212,years,5
213,old,5
214,many,5
215,more,5
216,still,5
217,daas,5
218,red,5
219,must,5
220,where,5
221,phantom,5
222,tuesday,5
223,ugly,5
224,opened,5
225,kill,5
226,arms,5
227,whispered,5
228,hes,5
229,kissed,5
230,lights,5
231,dancers,4
232,second,4
233,doesnt,4
234,does,4
235,please,4
236,any,4
237,somebody,4
238,around,4
239,next,4
240,story,4
241,course,4
242,every,4
243,money,4
244,happy,4
245,bad,4
246,enemy,4
247,ill,4
248,music,4
249,chagny,4
250,across,4
251,whats,4
252,yes,4
253,leave,4
254,moved,4
255,outside,4
256,forget,4
257,waited,4
258,unhappy,4
259,near,4
260,morning,4
261,friday,4
262,shouted,4
263,help,4
264,accidents,4
265,woman,4
266,carefully,4
267,gardens,4
268,didnt,4
269,everywhere,4
270,felt,4
271,happened,4
272,chandelier,4
273,terrible,4
274,doors,4
275,big,4
276,faceand,4
277,run,4
278,here,4
279,marry,4
280,mirror,4
281,sorelli,3
282,matter,3
283,tall,3
284,open,3
285,ago,3
286,coat,3
287,head,3
288,yellow,3
289,spoke,3
290,himand,3
291,day,3
292,tickets,3
293,stop,3
294,dress,3
295,megs,3
296,body,3
297,hour,3
298,killed,3
299,ar,3
300,office,3
301,mad,3
302,housei,3
303,francs,3
304,youre,3
305,than,3
306,called,3
307,perhaps,3
308,brother,3
309,smiled,3
310,think,3
311,had,3
312,eyes,3
313,wonderful,3
314,speak,3
315,tired,3
316,soon,3
317,walked,3
318,answer,3
319,wednesday,3
320,mon,3
321,sieur,3
322,life,3
323,arrived,3
324,clever,3
325,happen,3
326,those,3
327,meet,3
328,oclock,3
329,feel,3
330,minute,3
331,worked,3
332,ask,3
333,stopped,3
334,saidi,3
335,sat,3
336,top,3
337,ropes,3
338,dressing,3
339,saturday,3
340,along,3
341,eriks,3
342,rivers,3
343,live,3
344,"""",2
345,annie,2
346,most,2
347,really,2
348,once,2
349,holes,2
350,little,2
351,hair,2
352,megbut,2
353,word,2
354,watches,2
355,leaves,2
356,true,2
357,comes,2
358,theres,2
359,sees,2
360,talks,2
361,way,2
362,found,2
363,rope,2
364,important,2
365,week,2
366,work,2
367,mand,2
368,himself,2
369,table,2
370,wasnt,2
371,sell,2
372,keeper,2
373,need,2
374,take,2
375,saidbut,2
376,right,2
377,joke,2
378,fools,2
379,carlot,2
380,armandand,2
381,nor,2
382,world,2
383,tine,2
384,noise,2
385,blue,2
386,family,2
387,philippe,2
388,older,2
389,father,2
390,seehe,2
391,families,2
392,stood,2
393,minutes,2
394,gave,2
395,everything,2
396,ten,2
397,chairs,2
398,roomthere,2
399,afternoon,2
400,free,2
401,toad,2
402,o,2
403,g,2
404,something,2
405,tried,2
406,these,2
407,yesthe,2
408,understood,2
409,watch,2
410,words,2
411,also,2
412,vi,2
413,thursday,2
414,tuileries,2
415,past,2
416,die,2
417,weeks,2
418,poor,2
419,home,2
420,saidhe,2
421,listened,2
422,chris,2
423,loves,2
424,drank,2
425,coffee,2
426,ever,2
427,breakfast,2
428,quiet,2
429,onto,2
430,suddenly,2
431,cold,2
432,song,2
433,begins,2
434,tocoack,2
435,mycoack,2
436,bring,2
437,housetheir,2
438,faces,2
439,below,2
440,meeting,2
441,tenth,2
442,dangerous,2
443,our,2
444,last,2
445,youand,2
446,meand,2
447,mask,2
448,househe,2
449,light,2
450,himi,2
451,round,2
452,housethey,2
453,kiss,2
454,watched,2
455,therefor,2
456,move,2
457,small,2
458,torture,2
459,pictures,2
460,mirrors,2
461,danced,2
462,hotter,2
463,rivoli,2
464,lived,2
465,quickquickclose,1
466,doorits,1
467,himannie,1
468,whowherewhats,1
469,ghostannie,1
470,saidin,1
471,passagei,1
472,andand,1
473,hairlaughed,1
474,poohshe,1
475,saideverybody,1
476,isnt,1
477,ghostyou,1
478,shadow,1
479,wallbut,1
480,dooror,1
481,look,1
482,lots,1
483,saidjoseph,1
484,wears,1
485,nose,1
486,eyesonly,1
487,timedont,1
488,itmy,1
489,saidwhat,1
490,fool,1
491,ing,1
492,ustell,1
493,dearsaid,1
494,oneyou,1
495,doorkeeper,1
496,boxes,1
497,housewellbox,1
498,boxhe,1
499,operas,1
500,boxand,1
501,sometimes,1
502,megyour,1
503,mothers,1
504,telling,1
505,storieshow,1
506,truei,1
507,youmeg,1
508,saidnobody,1
509,buys,1
510,always,1
511,nights,1
512,whyno,1
513,facethats,1
514,wrongmy,1
515,hears,1
516,herbut,1
517,thereand,1
518,ghostthey,1
519,"opera,",1
520,finishedthe,1
521,ingroomsuddenlythey,1
522,passageand,1
523,fatmotherly,1
524,womanwith,1
525,redhappy,1
526,facebut,1
527,girlsshe,1
528,criedjoseph,1
529,walks,1
530,downon,1
531,fourth,1
532,stagethe,1
533,other,1
534,workers,1
535,neck,1
536,ghostcried,1
537,girythe,1
538,menit,1
539,moncharmin,1
540,richardin,1
541,direc,1
542,tors,1
543,daythe,1
544,bu,1
545,quet,1
546,accident,1
547,angrilyor,1
548,accidentkilled,1
549,saidwhich,1
550,wantmy,1
551,sto,1
552,ry,1
553,ghostsmonsieur,1
554,saidwe,1
555,working,1
556,houseand,1
557,theyre,1
558,ok,1
559,letterarmand,1
560,armandwhy,1
561,read,1
562,againit,1
563,writing,1
564,thingsnever,1
565,alsoi,1
566,expensiveand,1
567,month,1
568,remem,1
569,ber,1
570,monthmonsieur,1
571,againthats,1
572,ogehtell,1
573,ghostof,1
574,coursemonsieur,1
575,tirmin,1
576,thinks,1
577,herethere,1
578,faustand,1
579,usually,1
580,margaritala,1
581,spanishand,1
582,parisbut,1
583,todayla,1
584,ta,1
585,tonightsaid,1
586,cur,1
587,illsuddenly,1
588,writes,1
589,morningshe,1
590,quicklywe,1
591,wayshe,1
592,tonightshe,1
593,hernobody,1
594,wait,1
595,seeperhaps,1
596,better,1
597,tawho,1
598,rightall,1
599,faustthe,1
600,"voice,the",1
601,angelpeople,1
602,loved,1
603,herthey,1
604,moredaa,1
605,wonder,1
606,fulthe,1
607,sorellichris,1
608,beforeshe,1
609,anniewhy,1
610,teacherannie,1
611,philippethe,1
612,chagnyturned,1
613,younger,1
614,raoulthe,1
615,chagnywas,1
616,twentyone,1
617,oldhe,1
618,hairand,1
619,smilethe,1
620,richand,1
621,vicomtebut,1
622,interested,1
623,brotherwhat,1
624,thats,1
625,twenty,1
626,ah,1
627,understandhe,1
628,saidyou,1
629,visit,1
630,four,1
631,agowhen,1
632,holiday,1
633,seain,1
634,brittanyraoul,1
635,saidwell,1
636,met,1
637,iwas,1
638,thenand,1
639,today,1
640,brothermmm,1
641,slowlywell,1
642,singerwe,1
643,listento,1
644,himgood,1
645,portantand,1
646,brothers,1
647,nightbut,1
648,doctor,1
649,christineand,1
650,illraoul,1
651,chairdont,1
652,chagnyin,1
653,brittany,1
654,afraidshe,1
655,awayno,1
656,youplease,1
657,awayim,1
658,doc,1
659,tor,1
660,roommademoiselle,1
661,needs,1
662,quietshe,1
663,doorand,1
664,left,1
665,roomchristine,1
666,alone,1
667,unhappyhow,1
668,himhow,1
669,thenvery,1
670,carefullyhe,1
671,dressingroombut,1
672,christineyou,1
673,voicehow,1
674,un,1
675,awayso,1
676,daahad,1
677,loverbut,1
678,shadows,1
679,loverhis,1
680,roomalone,1
681,passageso,1
682,dressingroomopened,1
683,inhe,1
684,himthen,1
685,herecome,1
686,answerraoul,1
687,everywhereunder,1
688,clothesin,1
689,corners,1
690,nighton,1
691,menparis,1
692,liked,1
693,margaritaeverything,1
694,goodthe,1
695,faust,1
696,happya,1
697,themfrom,1
698,getting,1
699,againshe,1
700,singshe,1
701,voicelike,1
702,sofirminis,1
703,jokemonsieur,1
704,eh,1
705,director,1
706,hereor,1
707,shoutarmandsaid,1
708,tiredlyi,1
709,answerslets,1
710,helpfulmadame,1
711,houses,1
712,ghostmadame,1
713,begantell,1
714,himsome,1
715,firminwhat,1
716,laughedi,1
717,whatmonsieur,1
718,upand,1
719,angrylisten,1
720,mewoman,1
721,sit,1
722,firminwhy,1
723,thatmadame,1
724,becausemonsieurthe,1
725,youwhen,1
726,dangerousthis,1
727,ghostthe,1
728,thatoh,1
729,housemany,1
730,acci,1
731,dentsand,1
732,angrysothe,1
733,learnt,1
734,quicklythe,1
735,nightthe,1
736,moneylets,1
737,give,1
738,onceoh,1
739,shoutedhe,1
740,firminthis,1
741,madwhy,1
742,firminare,1
743,try,1
744,ac,1
745,cidents,1
746,nearer,1
747,menlisten,1
748,meshe,1
749,quietlyremember,1
750,youthe,1
751,herthose,1
752,wordsmonsieur,1
753,slowlywhy,1
754,often,1
755,nice,1
756,shout,1
757,chagnyhe,1
758,lettersaw,1
759,bottom,1
760,dear,1
761,youhow,1
762,gar,1
763,densdont,1
764,meraoulplease,1
765,pocket,1
766,unhappyat,1
767,half,1
768,ohchristinehe,1
769,saidagain,1
770,againoh,1
771,christinethey,1
772,together,1
773,remembered,1
774,brittanyfour,1
775,awaychristine,1
776,askedwhy,1
777,write,1
778,nothingthen,1
779,slowlywe,1
780,ii,1
781,norwayand,1
782,youyou,1
783,chagnyi,1
784,wife,1
785,youchristine,1
786,noshhlisten,1
787,meraoulpleasei,1
788,wayand,1
789,year,1
790,latermy,1
791,diedi,1
792,unhappybut,1
793,franceto,1
794,parisi,1
795,singingbecause,1
796,smiledall,1
797,feet,1
798,quietlyi,1
799,ques,1
800,tionwho,1
801,meplease,1
802,whitewhat,1
803,manshe,1
804,whisperedthere,1
805,ingroom,1
806,armi,1
807,meraoulthere,1
808,voiceyesbut,1
809,trueohraoulim,1
810,afraidsometimes,1
811,christinepleaseim,1
812,friendi,1
813,youtell,1
814,tinei,1
815,voicebut,1
816,everythinghears,1
817,everythingthats,1
818,nighthe,1
819,teacher,1
820,raoulhes,1
821,singeri,1
822,musicand,1
823,mehow,1
824,sings,1
825,break,1
826,fast,1
827,bedshe,1
828,let,1
829,tersone,1
830,short,1
831,tonightstay,1
832,hap,1
833,pendo,1
834,lose,1
835,voicefor,1
836,bed,1
837,finish,1
838,s,1
839,friends,1
840,thoughtthey,1
841,tonightthat,1
842,ila,1
843,parisand,1
844,six,1
845,ingroomthey,1
846,dresses,1
847,faustbut,1
848,mattermegannie,1
849,ghostmeg,1
850,saidmy,1
851,angryshes,1
852,somethings,1
853,ohpoohthe,1
854,saidwhos,1
855,later,1
856,downthey,1
857,ghostsof,1
858,notthere,1
859,boxfirminhe,1
860,whispereddid,1
861,lookednoi,1
862,didnthe,1
863,backdid,1
864,foolshhthe,1
865,musics,1
866,beginning,1
867,hourthere,1
868,voices,1
869,happier,1
870,nomonsieur,1
871,twice,1
872,times,1
873,staredwhat,1
874,carlottas,1
875,noisecoack,1
876,laughmonsieur,1
877,bandsthen,1
878,armands,1
879,armthere,1
880,voicelaughing,1
881,againand,1
882,themin,1
883,everywhereher,1
884,whitethe,1
885,thou,1
886,sand,1
887,lightsbroke,1
888,crashed,1
889,houseone,1
890,hurtthe,1
891,weeksand,1
892,daysome,1
893,unhappysome,1
894,raouls,1
895,herwho,1
896,whatwas,1
897,teacherthis,1
898,voiceherangel,1
899,christineshe,1
900,"home,",1
901,housenot,1
902,places,1
903,everybodywhere,1
904,daabut,1
905,againa,1
906,rived,1
907,raoulit,1
908,houseon,1
909,placethere,1
910,hundreds,1
911,longlong,1
912,cornerand,1
913,listenraoulshe,1
914,quietyim,1
915,ev,1
916,erythingbut,1
917,nochristineraoul,1
918,shh,1
919,ushes,1
920,whowhat,1
921,aboutchristine,1
922,musici,1
923,couldnt,1
924,satuday,1
925,cause,1
926,awayi,1
927,suddenlyhe,1
928,wore,1
929,clothes,1
930,over,1
931,throughmany,1
932,passagesdowndown,1
933,housethere,1
934,therea,1
935,waters,1
936,coldhe,1
937,boat,1
938,lives,1
939,thereraoulin,1
940,lakeunder,1
941,herwas,1
942,trueraoulits,1
943,hehe,1
944,operabut,1
945,ghosthes,1
946,musiches,1
947,manhis,1
948,erikand,1
949,mehe,1
950,wifenoraoullisten,1
951,morehe,1
952,housein,1
953,roomhe,1
954,everlove,1
955,himbecause,1
956,facehe,1
957,off,1
958,maskand,1
959,cryand,1
960,raoulhe,1
961,faceit,1
962,scream,1
963,awaybut,1
964,manraoulbut,1
965,deadhe,1
966,nosejust,1
967,eyessometimes,1
968,holessometimes,1
969,secondthen,1
970,stayed,1
971,five,1
972,dayshe,1
973,nochristinenoyoure,1
974,wifecome,1
975,oncetodayyou,1
976,cant,1
977,quietlyhe,1
978,youraoulhe,1
979,ushe,1
980,youi,1
981,raouli,1
982,youchristineand,1
983,erikerikerikerik,1
984,houseraoul,1
985,afraidwas,1
986,voicewhere,1
987,afraidraoulchristine,1
988,whisperedim,1
989,saturdaywhats,1
990,thisraoul,1
991,saidafter,1
992,nightyou,1
993,togethercome,1
994,onlets,1
995,nowi,1
996,stairsthen,1
997,stoppedthere,1
998,"them,",1
999,hathe,1
1000,nonot,1
1001,stairshe,1
1002,saidgo,1
1003,frontand,1
1004,ranraoul,1
1005,answered,1
1006,namehes,1
1007,al,1
1008,ways,1
1009,erikbut,1
1010,himperhaps,1
1011,handthey,1
1012,stairsthrough,1
1013,passagesthen,1
1014,passagesat,1
1015,lit,1
1016,tle,1
1017,nightthenafter,1
1018,operaraoul,1
1019,awayand,1
1020,faceyesraoul,1
1021,itraoulpleaseall,1
1022,phantomsi,1
1023,madand,1
1024,herraoul,1
1025,singerphilippe,1
1026,unhappily,1
1027,youngare,1
1028,tenor,1
1029,twentyyears,1
1030,housetoothe,1
1031,ogthey,1
1032,margaritaand,1
1033,francsmadame,1
1034,himis,1
1035,everythingmonsieur,1
1036,lot,1
1037,moneymonsieur,1
1038,unhappilyhe,1
1039,thought,1
1040,minutewhat,1
1041,oglikes,1
1042,ogcan,1
1043,own,1
1044,wellthe,1
1045,place,1
1046,ropesall,1
1047,houseev,1
1048,erybody,1
1049,againpeople,1
1050,between,1
1051,chagnythere,1
1052,secrets,1
1053,parispeople,1
1054,interestyoung,1
1055,singers,1
1056,stageher,1
1057,afraidbut,1
1058,angelah,1
1059,voiceall,1
1060,songsuddenlyevery,1
1061,outfor,1
1062,spokethen,1
1063,screamedand,1
1064,longer,1
1065,stageshe,1
1066,stagenobody,1
1067,find,1
1068,madeverybody,1
1069,thereshouted,1
1070,outthe,1
1071,police,1
1072,cameand,1
1073,questions,1
1074,questionsmonsieur,1
1075,shoutedand,1
1076,quietthen,1
1077,daughter,1
1078,awaywomanmonsieur,1
1079,monsieurthere,1
1080,missing,1
1081,nowmadame,1
1082,saidmegtell,1
1083,outwe,1
1084,stagewe,1
1085,screami,1
1086,thlnk,1
1087,voicethen,1
1088,onbut,1
1089,therewe,1
1090,afraidand,1
1091,running,1
1092,chagnyhis,1
1093,grywheres,1
1094,wheres,1
1095,christinehe,1
1096,shoutedsuddenly,1
1097,armhe,1
1098,quicklywhat,1
1099,whitewe,1
1100,dressingroombutbut,1
1101,ranhe,1
1102,passagesthrough,1
1103,stagein,1
1104,rooma,1
1105,arm,1
1106,mattermy,1
1107,friendwhere,1
1108,ning,1
1109,toso,1
1110,hat,1
1111,christineraoul,1
1112,quicklyeriks,1
1113,herwhere,1
1114,shehelp,1
1115,mesaid,1
1116,persianthey,1
1117,dressingroomthe,1
1118,roomraoul,1
1119,waitthe,1
1120,happenedthen,1
1121,turnand,1
1122,hole,1
1123,itraoul,1
1124,quickcome,1
1125,mebut,1
1126,carefulthe,1
1127,eriki,1
1128,understand,1
1129,secretsput,1
1130,headlike,1
1131,thisand,1
1132,keep,1
1133,whyraoul,1
1134,buquetand,1
1135,neckerik,1
1136,downunder,1
1137,floors,1
1138,pas,1
1139,sages,1
1140,noises,1
1141,lakeerik,1
1142,timenowe,1
1143,backi,1
1144,therein,1
1145,darkthe,1
1146,handsahhere,1
1147,ishe,1
1148,whisperedthe,1
1149,openedvery,1
1150,qui,1
1151,etlythey,1
1152,throughand,1
1153,inside,1
1154,darkthey,1
1155,listenedthe,1
1156,nohe,1
1157,whisperedit,1
1158,wrong,1
1159,roomthe,1
1160,mirrorswe,1
1161,menvicomte,1
1162,chagnydead,1
1163,understandbut,1
1164,learntthe,1
1165,laugherik,1
1166,mirrorswallsfloorceilingthere,1
1167,trees,1
1168,pic,1
1169,tures,1
1170,hot,1
1171,hotterraoul,1
1172,thirstyhot,1
1173,thirstyand,1
1174,eyesbut,1
1175,dancedwaterhe,1
1176,needed,1
1177,waterbut,1
1178,himsoon,1
1179,eyeshe,1
1180,thirsty,1
1181,nowjust,1
1182,tiredso,1
1183,tiredoh,1
1184,sorryhe,1
1185,thoughti,1
1186,dying,1
1187,lover,1
1188,roombehind,1
1189,stoodwith,1
1190,dyingchristinedyingwatch,1
1191,carefullynodont,1
1192,close,1
1193,eyeswatch,1
1194,speakshe,1
1195,screambut,1
1196,camethen,1
1197,thiserik,1
1198,youchristinemarry,1
1199,mebe,1
1200,wifeand,1
1201,methen,1
1202,slowlychristine,1
1203,turnedshe,1
1204,eroks,1
1205,terribleug,1
1206,ly,1
1207,againvery,1
1208,yeserikfrom,1
1209,wifeshe,1
1210,neckand,1
1211,himkissed,1
1212,slowly,1
1213,lovingly,1
1214,mouththen,1
1215,slowlypoorunhappy,1
1216,heryou,1
1217,youbut,1
1218,mefreelyoh,1
1219,christinemy,1
1220,angelthat,1
1221,womaneven,1
1222,mee,1
1223,oldshe,1
1224,criedthen,1
1225,feetyou,1
1226,freechristinefreego,1
1227,raouland,1
1228,happybut,1
1229,re,1
1230,member,1
1231,eriksometimesgo,1
1232,nowquicklytake,1
1233,persianand,1
1234,visits,1
1235,weeksall,1
1236,operaeverybody,1
1237,questionsbut,1
1238,answerswhere,1
1239,aliveor,1
1240,gardensshe,1
1241,rooms,1
1242,housethe,1
1243,himmy,1
1244,swersplease,1
1245,meare,1
1246,alive,1
1247,inthe,1
1248,windowand,1
1249,slowlythe,1
1250,nowhe,1
1251,longeri,1
1252,agoand,1
1253,yeshis,1
1254,erikthat,1
1255,real,1
1256,nameof,1
1257,coursehe,1
1258,born,1
1259,francebut,1
1260,persiahe,1
1261,builder,1
1262,friendbut,1
1263,longwhen,1
1264,cleververy,1
1265,manhe,1
1266,twoor,1
1267,threeplaces,1
1268,same,1
1269,placeand,1
1270,another,1
1271,placehe,1
1272,things,1
1273,ropesand,1
1274,mirrorsand,1
1275,doorsyou,1
1276,helped,1
1277,build,1
1278,built,1
1279,passages,1
1280,undergroundand,1
1281,lakehe,1
1282,giryhe,1
1283,cleverand,1
1284,uglypeople,1
1285,screamed,1
1286,halfmanhalfphantombut,1
1287,manin,1
1288,endhe,1
1289,womans,1
1290,stoppedand,1
1291,quietlyand,1
1292,raoulwhat,1
1293,smiledah,1
1294,yeswhat,1
1295,christinewho,1
1296,againperhaps,1
1297,train,1
1298,northand,1
