,words,number
0,the,224
1,and,161
2,to,138
3,white,122
4,he,107
5,a,73
6,mr,62
7,it,61
8,was,61
9,his,57
10,in,53
11,but,53
12,she,52
13,not,50
14,for,50
15,said,49
16,mrs,47
17,paw,45
18,herbert,43
19,did,42
20,old,42
21,at,40
22,then,32
23,you,32
24,monkeys,31
25,her,30
26,i,29
27,they,27
28,of,25
29,him,25
30,morris,25
31,very,24
32,is,24
33,money,22
34,began,22
35,looked,21
36,about,21
37,want,21
38,son,20
39,two,20
40,went,20
41,again,20
42,there,20
43,we,19
44,going,18
45,out,17
46,husband,17
47,tom,17
48,hand,17
49,asked,17
50,wife,16
51,some,16
52,soldier,16
53,sat,15
54,this,15
55,answered,15
56,come,15
57,minute,15
58,im,15
59,bed,15
60,time,14
61,on,14
62,down,14
63,have,14
64,stopped,14
65,do,14
66,can,14
67,wish,14
68,stood,14
69,were,13
70,yes,13
71,your,13
72,up,13
73,see,13
74,give,13
75,me,13
76,into,13
77,back,13
78,my,13
79,afraid,13
80,nothing,13
81,stranger,13
82,because,12
83,family,12
84,laughed,12
85,now,12
86,man,12
87,door,12
88,what,12
89,go,12
90,cried,12
91,got,11
92,suddenly,11
93,its,11
94,from,11
95,put,11
96,dont,11
97,little,10
98,mother,10
99,india,10
100,our,10
101,stories,10
102,took,10
103,no,10
104,cold,9
105,livingroom,9
106,good,9
107,with,9
108,room,9
109,noise,9
110,could,9
111,friend,9
112,too,9
113,things,9
114,came,9
115,face,9
116,ran,9
117,dark,8
118,nice,8
119,woman,8
120,waited,8
121,talk,8
122,warm,8
123,story,8
124,first,8
125,dead,8
126,get,8
127,their,8
128,that,8
129,whats,8
130,maw,8
131,meggins,8
132,chapter,7
133,rain,7
134,watched,7
135,be,7
136,long,7
137,father,7
138,night,7
139,right,7
140,didnt,7
141,wonderful,7
142,felt,7
143,need,7
144,something,7
145,strange,7
146,after,7
147,quickly,7
148,saw,7
149,us,7
150,people,7
151,so,7
152,quietly,7
153,answer,7
154,slowly,7
155,window,7
156,them,6
157,quiet,6
158,coming,6
159,heard,6
160,open,6
161,front,6
162,away,6
163,three,6
164,wishes,6
165,well,6
166,died,6
167,more,6
168,please,6
169,house,6
170,machinery,6
171,road,5
172,friends,5
173,are,5
174,smiled,5
175,young,5
176,had,5
177,much,5
178,hes,5
179,just,5
180,told,5
181,listened,5
182,many,5
183,talking,5
184,moved,5
185,last,5
186,know,5
187,end,5
188,take,5
189,listen,5
190,wait,5
191,think,5
192,make,5
193,thought,5
194,true,5
195,thousand,5
196,cry,5
197,morning,5
198,help,5
199,downstairs,5
200,when,4
201,lot,4
202,men,4
203,hear,4
204,perhaps,4
205,finish,4
206,thank,4
207,whisky,4
208,wanted,4
209,one,4
210,tell,4
211,soldiers,4
212,look,4
213,an,4
214,or,4
215,without,4
216,unhappy,4
217,cant,4
218,dinner,4
219,evening,4
220,thirty,4
221,pounds,4
222,matter,4
223,sleep,4
224,happy,3
225,carefully,3
226,windows,3
227,saidbut,3
228,worked,3
229,before,3
230,sit,3
231,better,3
232,day,3
233,interesting,3
234,magic,3
235,youre,3
236,gave,3
237,ask,3
238,accident,3
239,course,3
240,sometimes,3
241,ok,3
242,isnt,3
243,goodbye,3
244,needed,3
245,candle,3
246,breakfast,3
247,nobody,3
248,thing,3
249,over,3
250,welldressed,3
251,sorry,3
252,whites,3
253,called,3
254,days,3
255,by,3
256,boy,3
257,"""",2
258,stop,2
259,played,2
260,nearly,2
261,worse,2
262,bad,2
263,answeredits,2
264,thats,2
265,someone,2
266,chair,2
267,coat,2
268,pleased,2
269,meet,2
270,big,2
271,lets,2
272,years,2
273,country,2
274,yesherbert,2
275,oh,2
276,lose,2
277,here,2
278,say,2
279,pocket,2
280,dirty,2
281,saidand,2
282,saidthis,2
283,indian,2
284,saidthe,2
285,never,2
286,third,2
287,die,2
288,finished,2
289,answeredi,2
290,car,2
291,brings,2
292,unhappiness,2
293,saidperhaps,2
294,criedyoure,2
295,saidi,2
296,againwhat,2
297,careful,2
298,moneyof,2
299,saidwell,2
300,hands,2
301,opened,2
302,toms,2
303,table,2
304,forgot,2
305,late,2
306,exciting,2
307,soon,2
308,wasnt,2
309,happen,2
310,always,2
311,criedthe,2
312,move,2
313,happened,2
314,saidits,2
315,arent,2
316,tired,2
317,left,2
318,next,2
319,winter,2
320,sun,2
321,work,2
322,has,2
323,laugh,2
324,drank,2
325,later,2
326,answeredhes,2
327,looking,2
328,factory,2
329,couldnt,2
330,cemetery,2
331,sadly,2
332,bedroom,2
333,made,2
334,minutebut,1
335,number,1
336,castle,1
337,warmold,1
338,chess,1
339,liked,1
340,togetherherberts,1
341,thoughtwe,1
342,forty,1
343,born,1
344,trueherbert,1
345,uplisten,1
346,morriscoming,1
347,tonight,1
348,seven,1
349,oclockthe,1
350,listenherbert,1
351,saidtheres,1
352,doornow,1
353,saidcome,1
354,bigredfaced,1
355,together,1
356,answeredplease,1
357,saidover,1
358,hereits,1
359,youthe,1
360,whiskyold,1
361,saidyou,1
362,bottle,1
363,drink,1
364,interest,1
365,visitor,1
366,far,1
367,sontom,1
368,twentyone,1
369,saidid,1
370,like,1
371,tooher,1
372,whiskyno,1
373,criedstay,1
374,stopbut,1
375,morriswhat,1
376,begin,1
377,quicklywellnothing,1
378,important,1
379,againslowly,1
380,pocketthe,1
381,carefullyand,1
382,sonherberttook,1
383,wellwhat,1
384,itmr,1
385,pawa,1
386,pawherbert,1
387,laughedwhy,1
388,carry,1
389,pocketmr,1
390,wellyou,1
391,saiddont,1
392,laughboyremember,1
393,youngim,1
394,wonderfulherbert,1
395,these,1
396,bring,1
397,happinessthe,1
398,teach,1
399,somethingits,1
400,change,1
401,yesmorris,1
402,quietlyand,1
403,askedand,1
404,everybody,1
405,thingsa,1
406,fast,1
407,difficultymy,1
408,wished,1
409,latemy,1
410,child,1
411,saidwhy,1
412,nowyou,1
413,how,1
414,someonethe,1
415,youthenafter,1
416,minutehe,1
417,youbutof,1
418,mebut,1
419,rememberthis,1
420,thinkquickly,1
421,unhappybut,1
422,saidmake,1
423,quietlyok,1
424,remember,1
425,buttom,1
426,saidbe,1
427,herthen,1
428,hercome,1
429,onhelp,1
430,getting,1
431,difficult,1
432,everythingperhaps,1
433,four,1
434,handeverybody,1
435,mouth,1
436,updont,1
437,ithe,1
438,indiathey,1
439,interestingthey,1
440,questions,1
441,leave,1
442,familyand,1
443,answeredyour,1
444,life,1
445,visit,1
446,coathe,1
447,midnightin,1
448,talked,1
449,saidwhat,1
450,kitchen,1
451,werent,1
452,herbertmrs,1
453,welli,1
454,quietlyperhaps,1
455,husbanddid,1
456,askedwe,1
457,angry,1
458,wellyesher,1
459,wellhe,1
460,itherbert,1
461,laughedits,1
462,rich,1
463,happycome,1
464,fathermake,1
465,pocketokherbert,1
466,am,1
467,everythingyou,1
468,courseherbert,1
469,quicklywe,1
470,thinking,1
471,cause,1
472,havent,1
473,pay,1
474,pawit,1
475,floor,1
476,mans,1
477,edbut,1
478,feel,1
479,welltheres,1
480,moneyfather,1
481,truebut,1
482,husbandare,1
483,yesyes,1
484,answeredbut,1
485,smoked,1
486,saidwellfatherim,1
487,bag,1
488,under,1
489,bedgood,1
490,fatherand,1
491,through,1
492,daythe,1
493,near,1
494,shops,1
495,dinnerare,1
496,read,1
497,eveningherbert,1
498,saidso,1
499,early,1
500,tonightwe,1
501,pawsmrs,1
502,angrywhy,1
503,husbanda,1
504,thingsshe,1
505,herthirty,1
506,quietlywe,1
507,clock,1
508,upim,1
509,postman,1
510,letterremember,1
511,tooherbert,1
512,saidtom,1
513,thinks,1
514,wellleave,1
515,happilyget,1
516,shopsim,1
517,hungry,1
518,walked,1
519,househer,1
520,matterhe,1
521,nothinghis,1
522,answeredand,1
523,husbandyour,1
524,post,1
525,arrived,1
526,brought,1
527,letters,1
528,thembut,1
529,oclock,1
530,eat,1
531,often,1
532,poundsmrs,1
533,answeredlets,1
534,forget,1
535,nightperhaps,1
536,movemrs,1
537,movedmr,1
538,angrily,1
539,answerbut,1
540,theres,1
541,strangervery,1
542,talland,1
543,houseohnoits,1
544,okhes,1
545,eatingmr,1
546,husbandhe,1
547,onhes,1
548,himhes,1
549,welldressedsuddenly,1
550,excitedhes,1
551,bringing,1
552,tall,1
553,begangood,1
554,afternoon,1
555,wellim,1
556,answeredwhat,1
557,saidmrs,1
558,yesof,1
559,coursemrs,1
560,onim,1
561,thoughtperhaps,1
562,why,1
563,megginsand,1
564,whysuddenly,1
565,mattershe,1
566,criedis,1
567,herbertshe,1
568,question,1
569,facesand,1
570,againim,1
571,gain,1
572,hospital,1
573,criedoh,1
574,pleasenot,1
575,strangers,1
576,knew,1
577,arm,1
578,round,1
579,machineryan,1
580,himand,1
581,quicklybut,1
582,saidour,1
583,saidhe,1
584,loved,1
585,strangercan,1
586,himcan,1
587,quicklyno,1
588,outhe,1
589,",dont",1
590,faces,1
591,againtheres,1
592,saidyour,1
593,six,1
594,worker,1
595,timeagain,1
596,stoppedafter,1
597,againmaw,1
598,afraidhow,1
599,laterin,1
600,bignew,1
601,miles,1
602,housethe,1
603,sonthen,1
604,darkold,1
605,live,1
606,themthe,1
607,thenone,1
608,nightabout,1
609,week,1
610,latermrs,1
611,calledcome,1
612,colder,1
613,sonhis,1
614,mattermr,1
615,criedhe,1
616,bedwhats,1
617,thoughtwhy,1
618,ex,1
619,cited,1
620,darki,1
621,itshe,1
622,youve,1
623,saidwhere,1
624,answeredwhy,1
625,crywe,1
626,onebut,1
627,ohnonot,1
628,mad,1
629,againthink,1
630,show,1
631,thinkdo,1
632,body,1
633,understand,1
634,across,1
635,touched,1
636,thoughti,1
637,canti,1
638,faceafter,1
639,wifeand,1
640,criedquick,1
641,cantmr,1
642,rememberhe,1
643,own,1
644,sonmrs,1
645,slowlyi,1
646,usthen,1
647,nearest,1
648,stayed,1
649,godmr,1
650,doorhe,1
651,stoppedand,1
652,movethen,1
653,ranhe,1
654,upstairsback,1
655,closed,1
656,behind,1
657,listenedand,1
658,againits,1
659,criedim,1
660,bedroommr,1
661,criedthink,1
662,nodont,1
663,godonther,1
664,roomim,1
665,herstophe,1
666,criedremember,1
667,machineryyou,1
668,run,1
669,movethe,1
670,thoughtwheres,1
671,bedroomquickhe,1
672,where,1
673,itat,1
674,find,1
675,darkah,1
676,same,1
677,afraidold,1
678,quietand,1
