,words,number
0,the,300
1,a,167
2,and,166
3,i,164
4,he,153
5,to,116
6,his,107
7,in,103
8,of,89
9,was,84
10,at,79
11,him,78
12,very,70
13,but,69
14,you,56
15,merrick,56
16,it,55
17,said,52
18,not,50
19,see,40
20,for,40
21,like,38
22,then,35
23,hospital,34
24,man,34
25,could,34
26,is,30
27,me,30
28,on,30
29,my,28
30,she,28
31,with,27
32,people,27
33,looked,26
34,they,25
35,because,24
36,this,24
37,we,23
38,about,23
39,there,22
40,had,22
41,did,21
42,so,21
43,are,21
44,back,20
45,came,20
46,hand,20
47,happy,20
48,one,19
49,can,17
50,lot,17
51,or,17
52,were,17
53,all,16
54,room,16
55,her,16
56,"him,",15
57,your,15
58,london,14
59,do,14
60,"sir,",14
61,sat,14
62,down,14
63,left,14
64,went,13
65,have,13
66,no,13
67,took,13
68,smiled,13
69,gave,13
70,"yes,",13
71,again,13
72,shop,12
73,picture,12
74,first,12
75,read,12
76,now,12
77,im,12
78,put,12
79,some,12
80,them,12
81,dr,11
82,am,11
83,skin,11
84,from,11
85,here,11
86,help,11
87,that,11
88,cab,11
89,creature,10
90,look,10
91,an,10
92,door,10
93,"well,",10
94,out,10
95,up,10
96,know,10
97,books,10
98,beautiful,10
99,dont,10
100,"hand,",10
101,lady,10
102,talk,10
103,day,9
104,more,9
105,money,9
106,little,9
107,table,9
108,too,9
109,face,9
110,young,9
111,want,9
112,two,9
113,think,9
114,after,9
115,letter,9
116,talked,9
117,christmas,9
118,near,8
119,afraid,8
120,ugly,8
121,come,8
122,every,8
123,much,8
124,wonderful,8
125,thank,8
126,"you,",8
127,joseph,8
128,mr,8
129,going,8
130,card,8
131,many,8
132,good,8
133,"merrick,",8
134,by,8
135,wanted,8
136,home,8
137,queen,8
138,theatre,8
139,country,8
140,chapter,7
141,",",7
142,saw,7
143,front,7
144,felt,7
145,old,7
146,would,7
147,move,7
148,us,7
149,body,7
150,head,7
151,enormous,7
152,long,7
153,walked,7
154,sir,7
155,get,7
156,difficult,7
157,"day,",7
158,minute,7
159,friends,7
160,nobody,7
161,play,7
162,name,6
163,elephant,6
164,under,6
165,opened,6
166,give,6
167,carefully,6
168,behind,6
169,stood,6
170,things,6
171,women,6
172,angry,6
173,bad,6
174,"ill,",6
175,three,6
176,stay,6
177,"carefully,",6
178,"hospital,",6
179,began,6
180,laughed,6
181,quiet,6
182,wrote,6
183,important,6
184,times,6
185,years,6
186,dear,6
187,kind,6
188,live,6
189,"treves,",6
190,"joseph,",6
191,"books,",6
192,treves,5
193,dirty,5
194,mouth,5
195,what,5
196,"man,",5
197,time,5
198,"right,",5
199,its,5
200,"it,",5
201,well,5
202,"very,",5
203,bags,5
204,legs,5
205,big,5
206,take,5
207,thats,5
208,sometimes,5
209,"see,",5
210,police,5
211,cant,5
212,how,5
213,boys,5
214,next,5
215,dark,5
216,"morning,",5
217,postman,5
218,steps,5
219,strange,5
220,thought,5
221,quickly,5
222,brought,5
223,bed,5
224,told,5
225,often,5
226,new,5
227,nurses,5
228,shook,5
229,half,5
230,stopped,4
231,coat,4
232,"sorry,",4
233,into,4
234,chair,4
235,"creature,",4
236,"room,",4
237,cloth,4
238,over,4
239,dead,4
240,slowly,4
241,"doctor,",4
242,most,4
243,laugh,4
244,arm,4
245,hit,4
246,sit,4
247,best,4
248,hundreds,4
249,"country,",4
250,"me,",4
251,black,4
252,yes,4
253,"difficult,",4
254,usually,4
255,silcock,4
256,helped,4
257,"too,",4
258,"again,",4
259,go,4
260,readers,4
261,life,4
262,"bed,",4
263,friend,4
264,"majesty,",4
265,flowers,4
266,house,4
267,sleep,4
268,pence,3
269,asked,3
270,"please,",3
271,angrily,3
272,horrible,3
273,smell,3
274,quietly,3
275,"head,",3
276,flower,3
277,ill,3
278,wore,3
279,"coat,",3
280,interesting,3
281,thing,3
282,eyes,3
283,red,3
284,smile,3
285,these,3
