,words,number
0,the,303
1,to,125
2,a,88
3,and,85
4,was,75
5,on,69
6,in,67
7,were,66
8,of,64
9,at,59
10,they,49
11,dogs,42
12,men,35
13,for,31
14,went,30
15,is,30
16,his,30
17,very,28
18,all,25
19,it,24
20,looked,23
21,go,23
22,their,23
23,are,22
24,not,22
25,scott,20
26,going,20
27,with,20
28,south,20
29,ponies,20
30,sledges,20
31,he,19
32,kilometres,19
33,can,19
34,there,19
35,two,18
36,you,17
37,flag,17
38,said,17
39,first,17
40,one,16
41,we,16
42,dont,16
43,cape,15
44,back,14
45,that,14
46,pole,14
47,put,14
48,cant,14
49,motor,14
50,this,13
51,them,13
52,more,13
53,snow,13
54,evans,13
55,man,12
56,under,12
57,from,12
58,good,12
59,get,12
60,amundsen,12
61,bjaaland,12
62,i,12
63,about,12
64,than,12
65,four,12
66,north,11
67,lot,11
68,oates,11
69,food,11
70,left,11
71,began,10
72,black,10
73,had,10
74,see,10
75,big,10
76,came,10
77,have,10
78,th,10
79,up,10
80,front,10
81,skis,10
82,sledge,10
83,chapter,9
84,day,9
85,an,9
86,be,9
87,long,9
88,some,9
89,too,9
90,after,9
91,wrote,9
92,skied,9
93,strong,8
94,british,8
95,days,8
96,could,8
97,over,8
98,best,8
99,him,8
100,didnt,8
101,want,8
102,three,8
103,journey,8
104,norwegians,8
105,depot,8
106,start,8
107,like,7
108,five,7
109,waited,7
110,talked,7
111,do,7
112,me,7
113,warm,7
114,thought,7
115,our,7
116,ice,7
117,next,7
118,pulled,7
119,holes,7
120,made,7
121,framheim,7
122,stayed,7
123,wind,7
124,bad,7
125,found,7
126,important,6
127,my,6
128,wooden,6
129,house,6
130,no,6
131,mountains,6
132,walked,6
133,quietly,6
134,fram,6
135,wanted,6
136,ththe,6
137,here,6
138,again,6
139,then,6
140,behind,6
141,started,6
142,newspaper,6
143,took,6
144,need,6
145,did,6
146,place,6
147,ran,6
148,flags,6
149,scotts,6
150,died,6
151,feet,6
152,nothing,6
153,race,5
154,terra,5
155,nova,5
156,down,5
157,stood,5
158,poleand,5
159,nearly,5
160,quickly,5
161,away,5
162,ship,5
163,laughed,5
164,friends,5
165,beautiful,5
166,sea,5
167,saidits,5
168,wonderful,5
169,these,5
170,work,5
171,or,5
172,doesnt,5
173,letter,5
174,temperature,5
175,march,5
176,winter,5
177,faster,5
178,worked,5
179,across,5
180,november,5
181,tent,5
182,december,5
183,bowers,5
184,smiled,4
185,clothes,4
186,door,4
187,got,4
188,onto,4
189,know,4
190,moved,4
191,look,4
192,out,4
193,eat,4
194,understand,4
195,map,4
196,stopped,4
197,before,4
198,dogsand,4
199,october,4
200,arrived,4
201,asked,4
202,gave,4
203,has,4
204,eight,4
205,sledgesthey,4
206,sledgesand,4
207,come,4
208,earth,4
209,january,4
210,englishmen,4
211,foodand,4
212,every,4
213,reached,4
214,find,4
215,time,4
216,hours,4
217,white,4
218,now,4
219,better,4
220,us,4
221,johansen,4
222,sun,4
223,twentyeight,4
224,travelled,4
225,tired,4
226,teddy,4
227,oatess,4
228,summer,3
229,june,3
230,river,3
231,happy,3
232,what,3
233,saidand,3
234,shipand,3
235,opened,3
236,outside,3
237,everyone,3
238,ready,3
239,island,3
240,little,3
241,small,3
