,words,number
0,的,250
1,了,246
2,我,199
3,她,170
4,你,166
5,他,146
6,说,89
7,是,77
8,罗杰,68
9,在,66
10,黛安娜,61
11,妈妈,57
12,探长,56
13,不,49
14,莫利,47
15,想,46
16,沃尔什,44
17,杰基,42
18,去,39
19,钱,39
20,告诉,37
21,和,37
22,都,37
23,吗,35
24,克拉克,32
25,艾伯特,31
26,房间,29
27,又,28
28,母亲,27
29,我们,27
30,看着,27
31,生气,26
32,知道,26
33,你们,26
34,也,25
35,想要,25
36,森,24
37,房子,24
38,什么,24
39,给,24
40,然后,24
41,这,24
42,着,24
43,需要,23
44,走,22
45,布里格斯,22
46,死,22
47,可,21
48,会,21
49,好,21
50,杀,20
51,现在,20
52,汤姆,20
53,警官,20
54,对,19
55,非常,19
56,爱,19
57,花园,18
58,来,18
59,站,18
60,起来,18
61,要,18
62,厨房,17
63,事,17
64,彼特,17
65,很,16
66,没有,16
67,福斯特,16
68,工作,15
69,人,15
70,他们,15
71,有,15
72,医生,15
73,个,14
74,里,14
75,放在,14
76,咖啡,14
77,安眠药,14
78,昨晚,14
79,那,13
80,一个,13
81,走进,13
82,每个,13
83,把,13
84,谈谈,13
85,突然,13
86,先生,13
87,热,12
88,看,12
89,哦,12
90,霍布斯,12
91,喜欢,12
92,脸,12
93,警察,12
94,牛奶,12
95,希望,11
96,没,11
97,总是,11
98,为什么,11
99,到,11
100,吧,11
101,开始,11
102,道,11
103,就,11
104,些,11
105,那儿,11
106,普拉特,11
107,狗,11
108,得,10
109,发现,10
110,打电话,10
111,笑,10
112,大家,10
113,咱们,10
114,地,10
115,问,10
116,这儿,10
117,上,10
118,有关,10
119,呢,9
120,但,9
121,许多,9
122,从,9
123,明白,9
124,这些,9
125,农场,9
126,可以,9
127,谁,8
128,请,8
129,但是,8
130,这个,8
131,电话,8
132,可是,8
133,三明治,8
134,桌上,8
135,坐下,8
136,等,8
137,办公室,8
138,坐在,8
139,叫,8
140,东西,8
141,不是,8
142,所以,8
143,有人,8
144,线索,7
145,却,7
146,岁,7
147,因为,7
148,买,7
149,一会,7
150,村里,7
151,下,7
152,姨父,7
153,更,7
154,问题,7
155,见,7
156,不错,6
157,侦探,6
158,有些,6
159,它们,6
160,能,6
161,为,6
162,美丽,6
163,女人,6
164,这时,6
165,包里,6
166,找,6
167,眼睛,6
168,把手,6
169,打开,6
170,多,6
171,穿,6
172,昂贵,6
173,周四,6
174,每人,6
175,快乐,6
176,平静,6
177,空,6
178,慢慢,6
179,真的,6
180,爸爸,6
181,安静,6
182,瓶子,6
183,太太,6
184,接着,6
185,先,5
186,凶手,5
187,点,5
188,手,5
