,words,number
0,我,515
1,的,428
2,他,251
3,了,205
4,在,130
5,你,121
6,是,114
7,她,108
8,说,81
9,不,69
10,和,61
11,他们,60
12,很,58
13,个,49
14,女王,47
15,我们,46
16,詹姆斯,44
17,也,43
18,苏格兰,40
19,想,40
20,一个,37
21,玛丽,37
22,朋友,37
23,那,37
24,又,35
25,里,35
26,人,33
27,丈夫,32
28,没有,32
29,英格兰,31
30,但,31
31,着,31
32,有,31
33,去,31
34,死,29
35,对,26
36,都,25
37,现在,24
38,给,24
39,儿子,24
40,这,24
41,博思,24
42,韦尔,24
43,父亲,23
44,们,22
45,就,22
46,勋爵,22
47,达恩利,22
48,奇奥,22
49,而,21
50,伊丽莎白,21
51,把,21
52,让,21
53,做,20
54,一起,20
55,知道,19
56,上帝,19
57,国王,18
58,人们,18
59,喜欢,18
60,什么,18
61,城堡,17
62,吧,17
63,地,17
64,好,17
65,杀,17
66,男人,17
67,马里,17
68,并,16
69,吗,16
70,上,16
71,不是,16
72,不能,16
73,亨利,16
74,可是,15
75,夫人,15
76,杀死,15
77,可,15
78,那里,15
79,年,14
80,从,14
81,为什么,14
82,害怕,14
83,因此,14
84,然后,14
85,要,14
86,法国,13
87,说道,13
88,来,13
89,呆,13
90,可以,13
91,爱丁堡,13
92,这些,13
93,为,12
94,呢,12
95,写信,12
96,工作,12
97,陛下,12
98,监狱,12
99,告诉,12
100,像,12
101,房间,12
102,达维里,12
103,不想,12
104,军队,12
105,故事,11
106,这个,11
107,许多,11
108,教徒,11
109,后,11
110,当然,11
111,不要,11
112,回到,10
113,需要,10
114,一些,10
115,请,10
116,还,10
117,因为,10
118,天主教,10
119,经常,10
120,但是,10
121,非常,10
122,女人,10
123,笑,10
124,站,10
125,跟,10
126,就是,9
127,它,9
128,月,9
129,一间,9
130,离开,9
131,不会,9
132,这里,9
133,是因为,9
134,并且,9
135,而且,9
136,时候,9
137,于是,9
138,这样,9
139,到,9
140,亲王,9
141,骑马,9
142,晚上,9
143,帮助,9
144,孩子,9
145,年轻,8
146,见到,8
147,谁,8
148,或许,8
149,爱,8
150,贝斯,8
151,您,8
152,会,8
153,有时,8
154,怎么,8
155,也许,8
156,愤怒,8
157,一天,8
158,高兴,8
159,抱歉,8
160,伯爵,8
161,还是,7
162,国家,7
163,自己,7
164,将,7
