,words,number
0,了,234
1,的,216
2,他,139
3,说,85
4,我,85
5,在,83
6,瑞拉,76
7,司令,69
8,达克,67
9,卫兵,59
10,扎,54
11,着,47
12,是,46
13,地球,44
14,和,44
15,她,40
16,他们,39
17,我们,38
18,高格,37
19,你,36
20,你们,35
21,臭氧层,34
22,去,33
23,不,31
24,事,31
25,凯,30
26,也,28
27,把,28
28,人工,27
29,看,26
30,船长,25
31,人,24
32,就,23
33,上,23
34,现在,23
35,贝尔,23
36,一个,22
37,又,22
38,里,22
39,阿,22
40,岱,22
41,都,21
42,塞鲁,21
43,跟,21
44,什么,20
45,月亮,20
46,监狱,20
47,吧,19
48,想,19
49,您,19
50,到,19
51,有,18
52,那,18
53,没有,17
54,那些,17
55,可,17
56,房间,17
57,走,17
58,等,16
59,来,16
60,可是,15
61,号,15
62,吗,15
63,知道,15
64,可以,15
65,要,15
66,呢,14
67,阿岱,14
68,出租车,14
69,这儿,14
70,告诉,14
71,从,13
72,地,13
73,高,13
74,听,13
75,站,12
76,格,12
77,喊,12
78,火星,12
79,会,11
80,能,11
81,部族,11
82,问,11
83,没,11
84,还,11
85,咱们,11
86,好,11
87,进来,11
88,那个,11
89,今天,11
90,起来,11
91,死,11
92,再,10
93,宇宙飞船,10
94,突然,10
95,下来,10
96,谈谈,10
97,火车,10
98,为,10
99,不能,9
100,已经,9
101,有人,9
102,这,9
103,飞船,9
104,起身,9
105,那儿,9
106,澳大利亚,9
107,离开,9
108,打开,9
109,非常,9
110,还有,9
111,飞机,9
112,下面,8
113,数字,8
114,怎么,8
115,个,8
116,很,8
117,见,8
118,生气,8
119,大家,8
120,给,8
121,电话,8
122,办公室,8
123,帮助,8
124,这个,8
125,猫,8
126,杀,8
127,哥哥,8
128,开始,7
129,朋友,7
130,叫,7
131,卫星,7
132,平静,7
133,凯说,7
134,不想,7
135,谈,7
136,时候,7
137,下,7
138,前,7
139,然后,7
140,需要,7
141,基桑加尼,7
142,早晨,7
143,朝,7
144,对不起,7
145,跑,7
146,后面,7
147,两个,7
148,雨水,7
149,笑,7
150,钱,7
151,只,7
152,但是,6
153,下雨,6
154,欧洲,6
155,注视,6
156,眼睛,6
157,这些,6
158,两年,6
159,数据,6
160,不会,6
161,司机,6
162,正,6
163,不是,6
164,带,6
165,跳,6
166,们,6
167,之后,6
168,等待,6
169,地说,6
170,为什么,6
171,更,6
172,多,6
173,地板,6
174,森林,6
175,破裂,5
176,大,5
177,美丽,5
178,看到,5
179,而,5
180,工作,5
181,上空,5
182,正在,5
183,请,5
184,看看,5
185,坐,5
186,月球,5
187,点钟,5
188,得,5
189,帮忙,5
190,机场,5
191,门口,5
192,马路,5
193,昨天,5
194,过,5
195,凯问,5
196,出去,5
197,枪,5
198,它,5
199,一声,5
200,准备,5
201,一半,5
202,许多,5
203,所有,5
204,我要,5
205,很快,5
206,犯人,5
207,打死,5
208,出,5
209,塞鲁说,5
210,太阳,4
211,这颗,4
212,年,4
213,非洲,4
214,面前,4
215,吃饭,4
216,问题,4
217,回答,4
218,洞,4
219,说得对,4
220,凯站,4
221,头发,4
222,黑色,4
223,递给,4
224,看见,4
225,开口,4
226,重要,4
227,因为,4
228,晚上,4
229,回到,4
230,停,4
231,一起,4
232,回,4
233,来到,4
234,带到,4
235,就要,4
236,情况,4
237,啊,4
238,开,4
239,明天,4
240,见到,4
241,用,4
242,看凯,4
243,昂贵,4
244,椅子,4
245,新,4
246,看着,4
247,坐在,4
248,根本,4
249,午夜,4
250,没关系,4
251,愿意,4
252,大火,4
253,之前,4
254,降落,4
255,水,3
256,住,3
257,曾,3
258,大约,3
259,迅速,3
260,衣兜,3
261,才,3
262,希望,3
263,关于,3
264,一些,3
265,脸,3
266,明白,3
267,呆,3
268,父亲,3
269,也许,3
270,打个,3
271,第二天,3
272,说凯,3
273,感到,3
274,回来,3
275,出发,3
276,四个,3
277,进去,3
278,几个,3
279,一阵,3
280,这时,3
281,噢,3
282,谈过,3
283,手,3
284,走进,3
285,星球,3
286,小心,3
287,怕,3
288,窗户,3
289,黑,3
290,桌子,3
291,门边,3
292,再见,3
293,后门,3
294,队长,3
295,杀掉,3
296,火灾,3
297,以后,3
298,对,3
299,朝扎,3
300,疲惫,3
301,身边,3
302,高格要,3
303,神情,3
304,咖啡,3
305,三明治,3
306,中,3
307,吃,3
308,于是,3
309,小,3
310,让,3
311,"""",2
312,燃烧,2
313,行星,2
314,小洞,2
315,一天,2
316,东西,2
317,之间,2
318,事情,2
319,发生,2
320,制造,2
321,树,2
322,河里,2
323,但,2
324,树林,2
325,河流,2
326,生活,2
327,飞快,2
328,变换,2
329,穿过,2
330,长发,2
331,桌上,2
332,本子,2
333,转向,2
334,本来,2
335,身高,2
336,几乎,2
337,喊道,2
338,女人,2
339,喝点,2
340,凯把,2
341,笔记本,2
342,脸色,2
343,累,2
344,窗子,2
345,透过,2
346,天空,2
347,显得,2
348,冰冷,2
349,这事,2
350,年前,2
351,毁灭,2
352,一眼,2
353,最后,2
354,上次,2
355,涨红,2
356,第一次,2
357,喝,2
358,说话,2
359,脚步,2
360,漆黑,2
361,巴西,2
362,凯笑,2
363,后,2
364,嘛,2
365,饿,2
366,飞往,2
367,悉尼,2
368,一辆,2
369,吩咐,2
370,接见,2
371,不行,2
372,正说,2
373,大门口,2
374,蓝眼睛,2
375,一头,2
376,浓密,2
377,随即,2
378,顺着,2
379,并,2
380,缓缓,2
381,那辆,2
382,笑容,2
383,哪,2
384,很多,2
385,理解,2
386,启动,2
387,干嘛,2
388,为了,2
389,事扎,2
390,谈论,2
391,他会,2
392,点,2
393,好运,2
394,房门,2
395,他凯,2
396,快点,2
397,座,2
398,门,2
399,楼,2
400,一扇门,2
401,绿,2
402,鲜花,2
403,一件,2
404,喜欢,2
405,黑白相间,2
406,另一头,2
407,帮,2
408,身后,2
409,行,2
410,说起,2
411,是不是,2
412,要钱,2
413,花钱,2
414,带走,2
415,上来,2
416,门前,2
417,过去,2
418,打电话,2
419,进,2
420,愤怒,2
421,从来不,2
422,好人,2
423,阻止,2
424,等等,2
425,找,2
426,送死,2
427,那天,2
428,清晨,2
429,安静,2
430,真,2
431,高兴,2
432,目光,2
433,恐惧,2
434,过来,2
435,一边,2
436,开枪,2
437,拿,2
438,毁掉,2
439,烧毁,2
440,杀死,2
441,可能,2
442,疯,2
443,脸上,2
444,塞鲁笑,2
445,糟糕,2
446,准备就绪,2
447,悄悄地,2
448,逃走,2
449,一架,2
450,了解,2
451,个人,2
452,老,2
453,黑烟,2
454,简介,1
455,巨大,1
456,火球,1
457,来自,1
458,光和热,1
459,生存,1
460,周围,1
461,保护,1
462,免受,1
463,之火,1
464,伤害,1
465,如果,1
466,将会,1
467,怎样,1
468,变得,1
469,越来越,1
470,直到,1
471,任何,1
472,挡,1
473,火焰,1
474,生命,1
475,发芽,1
476,幼嫩,1
477,枯萎,1
478,逐渐,1
479,干涸,1
480,危险,1
481,情景,1
482,做些,1
483,路途遥远,1
484,首领,1
485,不肯,1
486,听从,1
487,指挥,1
488,本书,1
489,作者,1
490,罗,1
491,维纳,1
492,阿金,1
493,耶米,1
494,英国人,1
495,居住,1
496,多年,1
497,剑桥,1
498,公里,1
499,高度,1
500,向北,1
501,飞行,1
502,尾部,1
503,里凯,1
504,计算机屏幕,1
505,该,1
506,凯眼,1
507,眨,1
508,一下,1
509,走到,1
510,桌旁,1
511,观察,1
512,女孩,1
513,二十岁,1
514,黑黑的,1
515,大大的,1
516,他伏,1
517,往,1
518,记录,1
519,停止,1
520,上面,1
521,大洞,1
522,增大,1
523,见塞鲁,1
524,待会儿,1
525,两米,1
526,朝塞鲁,1
527,门外,1
528,胖脸,1
529,小个子,1
530,不用,1
531,谢谢,1
532,自己,1
533,变,1
534,不早了,1
535,坐下,1
536,一扇,1
537,玻璃,1
538,凝望,1
539,天幕,1
540,皎洁,1
541,仔细,1
542,别说,1
543,双手,1
544,插进,1
545,窗前,1
546,免于,1
547,灾难,1
548,谈一谈,1
549,动,1
550,记得,1
551,接着,1
552,船上,1
553,发回,1
554,寻常,1
555,特别,1
556,分配,1
557,作,1
558,凯等,1
559,一,1
560,两秒钟,1
561,比,1
562,还要,1
563,糟塞鲁,1
564,发配,1
565,南极,1
566,一艘,1
567,气象,1
568,一口,1
569,水凯,1
570,谢谢您,1
571,出了门,1
572,迟缓,1
573,下楼去,1
574,寂静,1
575,一步,1
576,怎们,1
577,办,1
578,说好,1
579,遥远,1
580,还是,1
581,有名气,1
582,下周,1
583,访问,1
584,星期五,1
585,太空飞行,1
586,三周,1
587,结束,1
588,乘,1
589,航天飞机,1
590,分别,1
591,通,1
592,乘飞机,1
593,以北,1
594,几公里,1
595,以外,1
596,大门,1
597,十几个,1
598,对面,1
599,点半要,1
600,天气,1
601,很热凯,1
602,口干舌燥,1
603,答应,1
604,点半见,1
605,三分钟,1
606,坐火车,1
607,一面,1
608,哪去,1
609,那棵,1
610,树下,1
611,出现,1
612,高大魁梧,1
613,长着,1
614,白发,1
615,两前,1
616,两后,1
617,阔步,1
618,护卫,1
619,停下,1
620,门扎,1
621,跨,1
622,开动,1
623,凯奔,1
624,向,1
625,坐进,1
626,车里,1
627,开着车,1
628,顺路,1
629,紧追,1
630,放,1
631,加速,1
632,开下,1
633,直驶到,1
634,前头,1
635,越来越近,1
636,撞,1
637,车厢,1
638,车门,1
639,出来,1
640,举起手来,1
641,对凯,1
642,拳打脚踢,1
643,住手,1
644,赶到,1
645,不带,1
646,一丝,1
647,更糟,1
648,开裂,1
649,这张,1
650,照片,1
651,拦住,1
652,这事扎,1
653,这件,1
654,怎么样,1
655,修复,1
656,去年,1
657,冬天,1
658,地区,1
659,枯死,1
660,假如,1
661,的话,1
662,活不下去,1
663,高格会,1
664,一切,1
665,弄,1
666,推到,1
667,公路,1
668,想干什么,1
669,去凯,1
670,拿出,1
671,凯拉,1
672,住处,1
673,一间,1
674,静静地,1
675,办公桌,1
676,信件,1
677,年轻人,1
678,站住,1
679,几分钟,1
680,来过,1
681,并且,1
682,总是,1
683,最终,1
684,毁,1
685,帮帮,1
686,见见,1
687,不扎,1
688,蓝蓝的,1
689,再也,1
690,不去,1
691,高格谈,1
692,祝你们,1
693,走出,1
694,不好,1
695,相处,1
696,真不知道,1
697,时,1
698,宽敞,1
699,旧,1
700,房子,1
701,一句,1
702,相间,1
703,观赏,1
704,名贵,1
705,门开,1
706,体胖,1
707,妻子,1
708,红色,1
709,穿着,1
710,蓝色,1
711,裙子,1
712,抱,1
713,一只,1
714,猫猫,1
715,白猫,1
716,身,1
717,白,1
718,你好,1
719,获得,1
720,最,1
721,正忙着,1
722,既,1
723,费力,1
724,费钱,1
725,黄色,1
726,送到,1
727,想到,1
728,另,1
729,冷冰冰,1
730,后悔,1
731,另外,1
732,摆满,1
733,古老,1
734,家具,1
735,和凯,1
736,间,1
737,屋子,1
738,墙上,1
739,挂满,1
740,图画,1
741,里面,1
742,世界,1
743,最富,1
744,最坏,1
745,胖,1
746,稀疏,1
747,一张,1
748,放着,1
749,一台,1
750,电视,1
751,三台,1
752,电脑,1
753,五部,1
754,只见,1
755,电视屏幕,1
756,持枪,1
757,当然,1
758,没人,1
759,懂得,1
760,不耐烦,1
761,打断,1
762,抬起,1
763,头,1
764,一双,1
765,冷漠,1
766,俩,1
767,名气,1
768,不小,1
769,孩子,1
770,拯救,1
771,电视机,1
772,老掉牙,1
773,故事,1
774,每个,1
775,坚持,1
776,一百年,1
777,少废话,1
778,讲话,1
779,行动,1
780,不了,1
781,地方,1
782,最大,1
783,饭店,1
784,正呆,1
785,电话铃,1
786,响,1
787,男,1
788,女,1
789,挂断,1
790,放下,1
791,听筒,1
792,座落在,1
793,高格家,1
794,附近,1
795,高大,1
796,白色,1
797,建筑,1
798,走过,1
799,开门,1
800,信,1
801,谁,1
802,旁边,1
803,绕,1
804,赶,1
805,人扎,1
806,告诉您,1
807,监狱长,1
808,时分,1
809,正门,1
810,前有,1
811,守,1
812,下楼梯,1
813,床,1
814,睡,1
815,上凯,1
816,五分钟,1
817,悄悄,1
818,一班,1
819,十二点,1
820,一刻,1
821,来凯,1
822,被关,1
823,问凯,1
824,所以,1
825,关,1
826,幼林,1
827,失火,1
828,冷笑,1
829,总,1
830,想着,1
831,想想,1
832,认真,1
833,别,1
834,太,1
835,在意,1
836,今天下午,1
837,打,1
838,闭目,1
839,凝神,1
840,一会儿,1
841,有枪,1
842,多一些,1
843,不凯,1
844,挂,1
845,表好,1
846,走扎,1
847,双眼,1
848,晶莹,1
849,碧蓝,1
850,祝您,1
851,家里,1
852,好扎,1
853,楼上,1
854,早,1
855,别上来,1
856,或者,1
857,透,1
858,寒光,1
859,这是,1
860,掏出,1
861,支枪,1
862,煞白,1
863,灰暗,1
864,充满,1
865,一时间,1
866,僵,1
867,扑,1
868,抢,1
869,朝高格,1
870,正好,1
871,倒,1
872,映衬,1
873,越发,1
874,红艳,1
875,不高格,1
876,大喊,1
877,三个,1
878,长枪,1
879,扶,1
880,高格凯,1
881,活不成,1
882,地倒,1
883,上午,1
884,一脸,1
885,红红的,1
886,谈些,1
887,低头,1
888,一言不发,1
889,呀,1
890,地喊,1
891,仍旧,1
892,爸爸,1
893,问是,1
894,提问,1
895,凝视着,1
896,重复,1
897,一遍,1
898,失去,1
899,座楼,1
900,脸白,1
901,恼怒,1
