,words,number
0,我,382
1,的,293
2,了,208
3,他,130
4,她,101
5,是,94
6,在,93
7,说,89
8,你,80
9,先生,64
10,和,56
11,诺埃尔,56
12,我们,50
13,着,47
14,艾丽森,45
15,把,45
16,妈妈,42
17,詹姆斯,41
18,一个,37
19,去,36
20,又,33
21,很,32
22,也,32
23,们,32
24,他们,29
25,地,28
26,因为,27
27,没有,27
28,起来,27
29,女巫,26
30,不,26
31,个,25
32,看守,25
33,给,25
34,都,24
35,巫师,23
36,来,23
37,房间,22
38,想,22
39,里德,22
40,看,22
41,兰开斯特,21
42,狗,21
43,就,20
44,里,20
45,宅院,20
46,法官,20
47,它,20
48,人,19
49,瓦斯,19
50,城堡,18
51,告诉,18
52,但是,17
53,一起,17
54,老德姆,16
55,代克,16
56,事,16
57,过,16
58,到,15
59,吃,15
60,金塔,15
61,有,14
62,潘德尔,14
63,那,14
64,约翰,14
65,对,14
66,孩子,14
67,詹妮特,13
68,地上,13
69,什么,13
70,生气,13
71,得,13
72,站,13
73,可是,13
74,跑,13
75,马尔,13
76,朋友,13
77,外祖母,12
78,从,12
79,监狱,12
80,面包,12
81,喊道,12
82,向,12
83,走,12
84,韦伯斯特,12
85,父亲,12
86,死,12
87,罗杰,12
88,害怕,11
89,诅咒,11
90,哥哥,11
91,穿过,11
92,不是,11
93,鲁滨逊,11
94,山,10
95,生活,10
96,村民,10
97,这,10
98,小贩,10
99,然后,10
100,好,10
101,吗,10
102,知道,10
103,当,10
104,时,10
105,村,10
106,劳,10
107,能,9
108,年,9
109,母亲,9
110,姐姐,9
111,故事,9
112,现在,9
113,叫,9
114,坐在,9
115,希望,9
116,那个,9
117,一些,9
118,跟着,9
119,喜欢,9
120,必须,9
121,詹妮,8
122,讲,8
123,看到,8
124,头发,8
125,男人,8
126,开始,8
127,后,8
128,那里,8
129,找,8
130,看着,8
131,月,8
132,用人,8
133,眼睛,8
134,恨,8
135,布罗,8
136,姆利,8
137,许多,7
138,特迪,7
139,有关,7
140,饿,7
141,由于,7
142,埃德蒙,7
143,大喊,7
144,房子,7
145,真话,7
146,有钱人,7
147,后面,7
148,脸,7
149,前,7
150,上,7
151,哭,7
152,死去,7
153,杀死,7
154,巴利,7
155,一家,7
156,家里,6
157,十分,6
158,脏,6
159,大门,6
160,中,6
161,要,6
162,棕色,6
163,突然,6
164,大,6
165,呢,6
166,谎言,6
167,进来,6
168,而,6
169,那条,6
170,钱,6
171,不想,6
172,你们,6
173,吧,6
174,迪,6
175,日,6
176,可以,6
177,听,6
178,出去,6
179,再也,6
180,没,6
181,丹迪,6
182,杀,6
183,女儿,6
184,相信,5
185,不过,5
186,女人,5
187,附近,5
188,名叫,5
189,一,5
190,冷,5
191,既,5
192,她们,5
193,冰冷,5
194,离开,5
195,打开,5
196,放在,5
197,一天,5
198,缓慢,5
199,带,5
200,教堂,5
201,呆,5
202,坐,5
203,回去,5
204,快乐,5
205,与,5
206,回到,5
207,衬衣,5
208,愤怒,5
209,穿,5
210,那天,5
211,嘴,5
212,却,5
213,大声,5
214,一只,5
215,沿着,5
216,已经,5
217,追赶,5
218,这个,5
219,咱们,5
220,儿子,5
221,说道,5
222,让,5
223,抱歉,5
224,想要,5
225,来到,5
226,炉火,5
227,问,5
228,魔鬼,5
229,从未,5
230,老太婆,4
231,会,4
232,人们,4
233,兰开夏郡,4
234,岁,4
235,起,4
