,words,number
0,的,426
1,他,223
2,了,179
3,我,164
4,她,108
5,在,107
6,是,100
7,你,86
8,克丽斯,76
9,拉乌尔,73
10,说,71
11,一个,59
12,没有,55
13,廷,55
14,歌剧院,54
15,人,53
16,但是,52
17,里,47
18,先生,45
19,我们,43
20,幽灵,43
21,这,42
22,都,41
23,不,39
24,他们,38
25,着,34
26,什么,32
27,和,30
28,那个,29
29,上,28
30,有,27
31,而,27
32,声音,26
33,知道,26
34,包厢,26
35,埃里克,26
36,那,25
37,阿尔芒,25
38,又,24
39,菲尔曼,24
40,来,23
41,就,23
42,演唱,23
43,歌剧,22
44,夫人,21
45,去,20
46,也,20
47,告诉,20
48,巴黎,19
49,男人,19
50,对,19
51,波斯,19
52,这个,18
53,而且,18
54,会,18
55,经理,18
56,洛塔,18
57,廷达埃,18
58,地,18
59,房间,17
60,吉丽,17
61,把,17
62,们,16
63,化妆室,16
64,号,16
65,呢,16
66,看着,16
67,啊,16
68,吗,15
69,听到,15
70,姑娘,15
71,脸,15
72,到,15
73,怎么,15
74,想,15
75,拉卡,15
76,走廊,14
77,事,14
78,过,14
79,非常,14
80,哦,14
81,不能,14
82,时候,14
83,今晚,14
84,爱,14
85,跑,13
86,她们,13
87,谁,13
88,看到,13
89,开始,13
90,接着,13
91,为什么,13
92,听,13
93,因为,13
94,它,12
95,舞台,12
96,并且,12
97,不要,12
98,问,12
99,吧,12
100,那里,12
101,晚上,12
102,玛格丽塔,12
103,沙尼,12
104,家族,12
105,子爵,12
106,走,12
107,谈论,11
108,人们,11
109,就是,11
110,叫,11
111,道,11
112,还,11
113,却,11
114,起来,11
115,并,11
116,说话,11
117,请,11
118,好,11
119,天使,11
120,从,11
121,所有,10
122,妈妈,10
123,梅格,10
124,看,10
125,死,10
126,那些,10
127,现在,10
128,发生,9
129,很,9
130,一位,9
131,害怕,9
132,你们,9
133,随后,9
134,一些,9
135,朋友,9
136,歌唱家,9
137,年轻,9
138,那儿,9
139,轻声,9
140,镜子,9
141,喜欢,8
142,关于,8
143,出现,8
144,许多,8
145,然后,8
146,约瑟夫,8
147,鲜花,8
148,给,8
149,这是,8
