,words,number
0,的,200
1,了,168
2,他,144
3,怀特,126
4,说,89
5,我,79
6,她,75
7,先生,67
8,你,62
9,赫伯特,62
10,是,58
11,在,57
12,太太,57
13,我们,53
14,但,48
15,又,42
16,也,36
17,他们,35
18,没有,33
19,不,32
20,什么,31
21,起来,30
22,猴,30
23,爪,30
24,和,29
25,莫里斯,29
26,很,28
27,着,28
28,钱,27
29,一个,26
30,吧,25
31,儿子,25
32,地,24
33,里,23
34,丈夫,23
35,东西,21
36,开始,21
37,猴爪,21
38,汤姆,21
39,把,21
40,故事,20
41,并,20
42,去,20
43,问,20
44,看着,18
45,有,18
46,想,18
47,老兵,18
48,陌生人,18
49,要,17
50,它,17
51,给,16
52,老,15
53,叫,15
54,妻子,15
55,好,14
56,害怕,14
57,一会儿,14
58,死,14
59,能,13
60,到,13
61,突然,13
62,吗,13
63,印度,13
64,回答,13
65,这,12
66,这个,12
67,朋友,12
68,现在,12
69,从,12
70,站,12
71,那儿,12
72,告诉,12
73,看,12
74,父亲,11
75,就,11
76,对,11
77,老人,11
78,上,10
79,接着,10
80,声音,10
81,听,10
82,需要,10
83,不想,10
84,跑,10
85,等,9
86,笑,9
87,母亲,9
88,听到,9
89,答道,9
90,也许,9
91,请,9
92,过,9
93,那,9
94,啦,9
95,不能,9
96,莫,9
97,麦金,9
98,可以,8
99,愿,8
100,愿望,8
101,那么,8
102,许愿,8
103,客厅,8
104,高兴,8
105,这样,8
106,因为,8
107,来,8
108,非常,8
109,道,8
110,事,8
111,走,8
112,机器,8
113,三个,7
114,发生,7
115,一家,7
116,孩子,7
117,两个,7
118,夜晚,7
119,还是,7
120,坐下,7
121,很快,7
122,真的,7
123,慢慢,7
124,没,7
125,爪子,7
126,为什么,7
127,人,7
128,脸,7
129,窗户,7
130,中,6
131,小,6
132,暖和,6
133,老妇人,6
134,房间,6
135,回到,6
136,一点,6
137,两位,6
138,有趣,6
139,看到,6
140,看看,6
141,停,6
142,做,6
143,有关,6
144,房子,6
145,呢,6
146,放在,6
147,不要,6
148,后,6
149,已经,6
150,睡觉,6
151,坐,6
152,时候,5
153,知道,5
154,却,5
155,而,5
156,长时间,5
157,才,5
158,快,5
159,年轻,5
160,这时,5
161,见到,5
162,过来,5
163,威士忌,5
164,多,5
165,拿,5
166,然后,5
167,口袋,5
168,手里,5
169,记住,5
170,带来,5
171,静静地,5
172,最后,5
173,右手,5
174,笑了起来,5
175,一些,5
176,为,5
177,呆,5
178,下来,5
179,卧室,5
180,将,4
181,现实,4
182,会,4
183,好好,4
184,想要,4
185,冷,4
186,一起,4
187,都,4
188,幸福,4
189,男人,4
190,安静,4
191,不是,4
192,打开,4
193,工作,4
194,你们,4
195,拿出,4
196,边,4
197,奇怪,4
198,一天,4
199,继续,4
200,仔细,4
201,所以,4
202,不再,4
203,怎么,4
204,但是,4
205,喊道,4
206,美好,4
207,平静,4
208,拿来,4
209,向,4
210,动,4
211,不会,4
212,想到,4
213,讲究,4
214,出,4
215,找,4
216,森来,4
217,对不起,4
218,哪儿,4
219,门,4
220,许,3
221,世界,3
222,当,3
223,改变,3
224,变化,3
225,一位,3
226,外面,3
227,坐在,3
228,因,3
229,很多,3
230,小家庭,3
231,雨声,3
232,进,3
233,多么,3
234,前门,3
235,感觉,3
236,之前,3
237,这儿,3
238,寒冷,3
239,许多,3
240,不过,3
241,不错,3
242,把手,3
243,回来,3
244,一只,3
245,明白,3
246,魔力,3
247,地说,3
248,可,3
249,事情,3
250,就是,3
251,家,3
252,一两分钟,3
253,顿,3
254,事故,3
255,希望,3
256,拥有,3
257,痛苦,3
258,身边,3
259,小心,3
260,帮帮我,3
261,当然,3
262,有时,3
263,晚餐,3
264,更,3
265,温暖,3
266,讲,3
267,变得,3
268,英镑,3
269,已,3
270,蜡烛,3
271,一眼,3
272,早餐,3
273,我要,3
274,邮差,3
275,一,3
276,觉得,3
277,马路,3
278,表情,3
279,吃,3
280,移动,3
281,穿着,3
282,床上,3
283,黑暗,3
284,楼下,3
285,想一想,3
286,又响,3
287,我来,3
288,"""",2
289,可能,2
290,一样,2
291,这些,2
292,结束,2
293,生活,2
294,可怕,2
295,时,2
296,想着,2
297,脸上,2
298,这是,2
299,爱,2
300,总,2
301,雨点,2
302,打,2
303,头,2
304,糟糕,2
305,左右,2
306,一种,2
307,椅子,2
308,开门,2
309,真,2
310,外套,2
311,高大,2
312,汉子,2
313,喝,2
314,老朋友,2
315,来自,2
316,停止,2
317,年,2
318,国家,2
319,来说,2
320,放下,2
321,停下,2
322,关于,2
323,脏,2
324,猴子,2
325,是因为,2
326,并且,2
327,第三个,2
328,有些,2
329,然而,2
330,还有,2
331,还要,2
332,送给,2
333,别人,2
334,这次,2
335,拿走,2
336,进去,2
337,许个,2
338,做些,2
339,说好,2
340,两只手,2
341,让,2
342,感谢,2
343,穿,2
344,道别,2
345,神奇,2
346,停下来,2
347,谈话,2
348,真实,2
349,哦,2
350,属于,2
351,有钱,2
352,讲话,2
