,words,number
0,他,272
1,的,252
2,我,207
3,了,113
4,在,64
5,里克,61
6,是,60
7,你,59
8,很,54
9,着,47
10,麦,47
11,说,44
12,一个,42
13,有,40
14,医院,39
15,里,39
16,人,38
17,看,33
18,她,33
19,给,32
20,我们,30
21,就,29
22,和,29
23,没有,28
24,又,28
25,许多,28
26,都,27
27,先生,27
28,地,26
29,也,26
30,上,23
31,不,22
32,像,22
33,想,21
34,到,21
35,但,20
36,将,18
37,来,18
38,这个,18
39,可以,18
40,把,18
41,与,17
42,这,17
43,伦敦,16
44,钱,16
45,吗,16
46,对,16
47,朋友,16
48,去,15
49,朝,15
50,们,15
51,他们,14
52,后来,14
53,照片,14
54,约瑟夫,14
55,现在,13
56,喜欢,13
57,怪物,13
58,特,13
59,里维斯,13
60,博士,13
61,那,13
62,非常,13
63,男人,12
64,房间,12
65,它,12
66,因为,12
67,不能,12
68,一位,11
69,走,11
70,可,11
71,从,11
72,知道,11
73,见到,11
74,这儿,11
75,马车,11
76,这些,11
77,放在,10
78,起来,10
79,所以,10
80,用,10
81,帮助,10
82,过,10
83,然后,10
84,王后,10
85,人们,9
86,看着,9
87,微笑,9
88,左手,9
89,手,9
90,那个,9
91,女士,9
92,有关,9
93,护士,9
94,泰晤士报,9
95,并,9
96,看到,9
97,幸福,9
98,丑陋,8
99,嘲笑,8
100,一样,8
101,一张,8
102,仔细,8
103,坐在,8
104,皮肤,8
105,但是,8
106,您,8
107,能,8
108,笑,8
109,事,8
110,生活,7
111,一天,7
112,医生,7
113,这样,7
114,开始,7
115,吧,7
116,外套,7
117,一些,7
118,桌子,7
119,好,7
120,什么,7
121,警察,7
122,西尔,7
123,库克,7
124,名片,7
125,得,7
126,年月日,7
127,住,7
128,母亲,7
129,书,7
130,高兴,7
131,乡间,7
132,有趣,6
133,拜访,6
134,生气,6
135,害怕,6
136,要,6
137,花,6
138,站,6
139,每天,6
140,还,6
141,一直,6
142,看不见,6
143,一只,6
144,漂亮,6
145,谢谢,6
146,坐下,6
147,商店,6
148,带到,6
149,来到,6
150,奇怪,6
151,这位,6
152,情况,6
153,一间,6
154,告诉,6
155,亲爱,6
156,自己,6
157,她们,6
158,家,6
159,圣诞节,6
160,剧院,6
161,故事,5
162,觉得,5
163,会,5
164,个,5
165,写,5
166,看看,5
167,对不起,5
168,里面,5
169,后面,5
170,椅子,5
171,女人,5
172,店老板,5
173,大声,5
174,慢慢,5
175,身体,5
176,脸,5
177,极了,5
178,当然,5
179,请,5
180,坏,5
181,有时,5
182,噢,5
183,邮递员,5
184,听,5
185,来说,5
186,说话,5
187,一封信,5
188,那儿,5
189,送给,5
190,星期,5
191,时,5
192,灯塔,5
193,离开,5
194,来访者,5
195,床上,5
196,那天,5
197,陛下,5
198,发现,4
199,每个,4
200,为什么,4
201,明白,4
202,店铺,4
203,附近,4
204,感到,4
205,而,4
206,事情,4
207,多,4
208,不是,4
209,眼睛,4
210,头上,4
211,东西,4
212,最,4
213,长得,4
214,大,4
215,年轻,4
216,腿,4
217,难,4
218,呆,4
219,需要,4
220,拿,4
221,一会儿,4
222,拉,4
223,头,4
224,问,4
225,很快,4
226,小,4
227,卡尔,4
228,戈蒙,4
229,回到,4
230,读者,4
231,第一个,4
232,待,4
233,那里,4
234,今天,4
235,晚上,4
236,亚历山德拉,4
237,愉快,4
238,它们,4
239,死,4
240,前,3
241,中,3
242,看见,3
243,可怕,3
244,大象,3
245,上面,3
246,象人,3
247,便士,3
248,穿着,3
249,嘴里,3
250,露出,3
251,气味,3
252,由于,3
253,一块,3
254,地说,3
255,病人,3
256,却是,3
257,穿,3
258,口袋,3
259,后,3
260,脸上,3
261,还是,3
262,大笑,3
263,这种,3
264,囊肿,3
265,脚,3
266,一,3
267,拐杖,3
268,让,3
269,是不是,3
270,象,3
271,那些,3
272,很多,3
273,地方,3
274,哦,3
275,意思,3
276,呢,3
277,困难,3
278,帮,3
279,孩子,3
280,总是,3
281,送,3
282,监狱,3
283,第二天,3
284,天,3
285,黑,3
286,等,3
287,手臂,3
288,早上好,3
289,上车,3
290,台阶,3
291,那位,3
292,病,3
293,旁,3
294,回答,3
295,讲,3
296,谁,3
297,重要,3
298,工作,3
299,安静,3
300,已,3
301,生病,3
302,很丑,3
303,只好,3
304,再也,3
305,房子,3
306,医院院长,3
307,看书,3
308,报纸,3
309,读,3
310,一遍,3
311,新,3
312,姑娘,3
313,声音,3
314,可是,3
315,最好,3
316,就是,3
317,一种,3
318,妇女,3
319,交谈,3
320,小时,3
321,以后,3
322,一起,3
323,歌唱,3
324,于,3
325,无人,3
326,剧中,3
327,乡下,3
328,这里,3
329,"""",2
330,大多数,2
331,阴冷,2
332,从不,2
333,本书,2
334,大家,2
335,甚至,2
336,看望,2
337,维克,2
338,弗雷德里克,2
339,年,2
340,一家,2
341,橱窗,2
342,这张,2
343,挺,2
344,看上去,2
345,下面,2
346,一次,2
347,进去,2
348,有个,2
349,一件,2
350,旧,2
351,问道,2
352,不行,2
353,明天,2
354,另外,2
355,满嘴,2
356,黄牙,2
357,打开,2
358,后门,2
359,走进,2
360,小房间,2
361,冷,2
362,暗,2
363,恶心,2
364,脏,2
365,悲伤,2
366,了解,2
367,遇到,2
368,或,2
369,样子,2
370,裤子,2
371,清楚,2
372,很大,2
373,肮脏,2
374,脖子,2
375,一颗,2
376,巨大,2
377,红,2
378,嘴,2
379,洞,2
380,看不出,2
381,无法,2
382,包,2
383,状物,2
384,右手,2
385,左臂,2
386,美,2
387,快,2
388,不好,2
389,背部,2
390,不远,2
391,难闻,2
392,走出,2
393,笑了笑,2
394,英国,2
395,最棒,2
396,成千上百,2
397,带,2
398,全国,2
399,各地,2
400,真的,2
401,坐,2
402,赚,2
403,嗯,2
404,长时间,2
405,通常,2
406,每星期,2
407,呃,2
408,更好,2
409,更,2
410,离,2
411,看麦,2
412,路上,2
413,怪,2
414,一辆,2
415,七点钟,2
416,多少,2
417,早上,2
418,五分钟,2
419,出来,2
420,帽子,2
421,顶,2
422,却,2
423,车门,2
424,上去,2
425,敲,2
426,再次,2
427,身后,2
428,还有,2
429,三个,2
430,小男孩,2
431,其中,2
432,双手,2
433,移动,2
434,过来,2
435,瞧,2
436,容易,2
437,认真,2
438,沉默,2
439,名字,2
440,谈,2
441,看过,2
442,怕,2
443,可能,2
444,不见,2
445,手里,2
446,饥饿,2
447,编辑,2
448,摘自,2
449,写信给,2
450,得到,2
451,名叫,2
452,叫,2
453,比利时,2
454,英镑,2
455,火车,2
456,好人,2
457,很漂亮,2
458,一辈子,2
459,他安个,2
460,两个,2
461,供,2
462,于是,2
463,好多,2
464,另,2
465,谈论,2
466,经常,2
467,非常高兴,2
468,当,2
469,打开门,2
470,尖叫,2
471,地上,2
472,气,2
473,此事,2
474,大夫,2
475,理解,2
476,泪水,2
477,那张,2
478,善良,2
479,感谢您,2
480,想要,2
481,盲人,2
482,封信,2
483,不常,2
484,张着,2
485,嘴朝,2
486,哭,2
487,近,2
488,把手,2
489,没,2
490,以前,2
491,握,2
492,半个,2
493,屋子里,2
494,身份,2
495,天气,2
496,介绍,2
497,这是,2
498,久,2
499,您好,2
500,跪下,2
501,精彩,2
502,书上,2
503,新年,2
504,祝,2
