,words,number
0,的,219
1,了,141
2,在,117
3,他,115
4,他们,101
5,我们,69
6,斯科特,65
7,说,58
8,雪橇,57
9,着,51
10,是,49
11,人,47
12,阿蒙森,46
13,我,46
14,南极,40
15,上,38
16,也,38
17,这些,37
18,狗,36
19,比,36
20,都,34
21,与,33
22,小马,33
23,月,31
24,日,30
25,将,29
26,这,29
27,地,28
28,阿兰,28
29,你,26
30,公里,25
31,又,24
32,门,24
33,不,24
34,奥茨,23
35,弗雷,23
36,贮藏,23
37,德,22
38,埃文斯,22
39,里,21
40,它们,21
41,那儿,20
42,但是,20
43,队长,20
44,去,20
45,走,20
46,没有,19
47,而,19
48,到,18
49,这儿,17
50,国旗,17
51,看着,17
52,机动,16
53,帐篷,16
54,有,15
55,号,15
56,非常,15
57,什么,15
58,食物,15
59,吗,14
60,现在,14
61,屋,14
62,开普,14
63,出发,14
64,可以,13
65,挪威,13
66,到达,13
67,后,13
68,插,13
69,海姆,13
70,最,12
71,滑雪板,12
72,对,12
73,就,12
74,你们,12
75,约翰森,12
76,不是,12
77,这样,12
78,雪地,12
79,地球,11
80,写,11
81,开始,11
82,旗帜,11
83,好,11
84,得,11
85,能,10
86,地方,10
87,南极洲,10
88,没,10
89,英国,10
90,比赛,10
91,所以,10
92,而且,10
93,带,10
94,朋友,10
95,想,10
96,还有,10
97,条狗,10
98,挪威人,10
99,还,10
100,英国人,10
101,个人,10
102,滑行,10
103,站,9
104,从,9
105,寒风,9
106,呢,9
107,但,9
108,笑,9
109,一个,9
110,北极,9
111,然而,9
112,问,9
113,旅程,9
114,找到,9
115,许多,9
116,多,9
117,可能,9
118,当时,8
119,冰封,8
120,为,8
121,和,8
122,内,8
123,向,8
124,所有,8
125,重要,8
126,已经,8
127,个,8
128,船上,8
129,自己,8
130,木屋,8
131,两个,8
132,众人,8
133,滑雪,8
134,报纸,8
135,每天,8
136,一面,8
137,随后,8
138,留在,8
139,很,8
140,东西,8
141,便,7
142,小时,7
143,成为,7
144,过,7
145,日记,7
146,啊,7
147,一天,7
148,群山,7
149,正,7
150,看,7
151,给,7
152,并,7
153,起来,7
